"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:53,
1991-01,70.077,
1991-04,-619.052,
1991-07,-78.785,
1991-10,843.048,
1992-01,1809.676,
1992-04,-1027.432,
1992-07,454.097,
1992-10,2854.584,
1993-01,-1485.752,
1993-04,892.195,
1993-07,1545.497,
1993-10,4469.215,
1994-01,-3391.857,
1994-04,2101.233,
1994-07,-490.668,
1994-10,1618.826,
1995-01,547.489,
1995-04,1877.849,
1995-07,1238.562,
1995-10,-375.099,
1996-01,1885.904,
1996-04,492.639,
1996-07,-1836.326,
1996-10,3481.868,
1997-01,1403.618,
1997-04,2278.180,
1997-07,2256.214,
1997-10,-2917.327,
1998-01,253.611,
1998-04,-1775.952,
1998-07,-1219.932,
1998-10,5949.645,
1999-01,-3416.873,
1999-04,-1594.577,
1999-07,3247.917,
1999-10,6520.919,
2000-01,-585.500,
2000-04,3673.348,
2000-07,1585.656,
2000-10,3643.761,
2001-01,2501.201,
2001-04,55.206,
2001-07,1698.370,
2001-10,3859.716,
2002-01,2185.429,
2002-04,7964.797,
2002-07,11346.353,
2002-10,-7679.369,
2003-01,4607.087,
2003-04,1205.511,
2003-07,-6428.993,
2003-10,2336.163,
2004-01,854.409,
2004-04,-5740.686,
2004-07,2567.736,
2004-10,2560.968,
2005-01,425.843,
2005-04,21982.128,
2005-07,256.772,
2005-10,10683.146,
2006-01,-13415.011,
2006-04,22373.947,
2006-07,3043.570,
2006-10,-1672.712,
2007-01,5762.801,
2007-04,159.209,
2007-07,47428.200,
2007-10,13875.361,
2008-01,-21177.541,
2008-04,2986.842,
2008-07,11655.424,
2008-10,-4749.239,
2009-01,-9856.180,
2009-04,7374.370,
2009-07,-3120.653,
2009-10,7658.615,
2010-01,-14757.668,
2010-04,-13401.772,
2010-07,-7987.332,
2010-10,12545.381,
2011-01,-9939.714,
2011-04,1132.750,
2011-07,7853.631,
2011-10,-2626.535,
2012-01,3799.911,
2012-04,-8319.787,
2012-07,6657.552,
2012-10,24112.901,
2013-01,-4445.569,
2013-04,-5106.271,
2013-07,-7721.611,
2013-10,2996.267,
2014-01,5770.216,
2014-04,22173.179,
2014-07,12658.956,
2014-10,48102.613,
