"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:49,
2009-09,92088,
2009-10,91137,
2009-11,92879,
2009-12,96448,
2010-01,98129,
2010-02,99377,
2010-03,103390,
2010-04,107049,
2010-05,109044,
2010-06,109451,
2010-07,108338,
2010-08,112524,
2010-09,113204,
2010-10,114901,
2010-11,118932,
2010-12,119763,
2011-01,117810,
2011-02,119607,
2011-03,117535,
2011-04,117688,
2011-05,121715,
2011-06,121152,
2011-07,123874,
2011-08,120274,
2011-09,119756,
2011-10,125992,
2011-11,122737,
2011-12,128486,
2012-01,133955,
2012-02,137234,
2012-03,138941,
2012-04,142282,
2012-05,146203,
2012-06,147722,
2012-07,155514,
2012-08,156102,
2012-09,157655,
2012-10,159398,
2012-11,163624,
2012-12,164627,
2013-01,164221,
2013-02,170340,
2013-03,175514,
2013-04,178656,
2013-05,178690,
2013-06,175438,
2013-07,179477,
2013-08,179536,
2013-09,184513,
2013-10,188956,
2013-11,194688,
2013-12,193984,
2014-01,197727,
2014-02,197803,
2014-03,202993,
2014-04,206488,
2014-05,214732,
2014-06,219038,
2014-07,224365,
2014-08,232463,
2014-09,237805,
2014-10,243844,
2014-11,249886,
