"",BBNZ1.Q.DE.S.G.0336.A,BBNZ1.Q.DE.S.G.0336.A_FLAGS
"",Germany / National accounts / Households' income / Monetary social benefits received (net) / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:06,
1991-01,52.599,
1991-04,54.108,
1991-07,55.112,
1991-10,56.907,
1992-01,58.766,
1992-04,59.725,
1992-07,61.097,
1992-10,64.398,
1993-01,63.729,
1993-04,64.366,
1993-07,66.267,
1993-10,68.431,
1994-01,67.105,
1994-04,67.765,
1994-07,68.711,
1994-10,68.475,
1995-01,68.536,
1995-04,69.603,
1995-07,70.423,
1995-10,71.701,
1996-01,73.043,
1996-04,73.823,
1996-07,73.466,
1996-10,73.462,
1997-01,74.933,
1997-04,75.028,
1997-07,74.907,
1997-10,75.619,
1998-01,74.906,
1998-04,76.971,
1998-07,76.843,
1998-10,76.890,
1999-01,78.892,
1999-04,79.507,
1999-07,80.334,
1999-10,80.835,
2000-01,79.799,
2000-04,80.365,
2000-07,80.630,
2000-10,81.863,
2001-01,83.095,
2001-04,83.859,
2001-07,84.709,
2001-10,85.296,
2002-01,85.910,
2002-04,86.263,
2002-07,88.033,
2002-10,87.304,
2003-01,88.604,
2003-04,89.139,
2003-07,89.845,
2003-10,90.643,
2004-01,90.156,
2004-04,89.271,
2004-07,89.414,
2004-10,89.663,
2005-01,89.784,
2005-04,90.635,
2005-07,90.132,
2005-10,90.034,
2006-01,89.919,
2006-04,90.363,
2006-07,89.643,
2006-10,88.960,
2007-01,88.801,
2007-04,88.914,
2007-07,89.351,
2007-10,89.323,
2008-01,89.056,
2008-04,89.506,
2008-07,89.593,
2008-10,90.230,
2009-01,93.145,
2009-04,96.158,
2009-07,97.160,
2009-10,97.024,
2010-01,97.396,
2010-04,97.303,
2010-07,96.377,
2010-10,96.883,
2011-01,96.006,
2011-04,95.477,
2011-07,95.816,
2011-10,95.860,
2012-01,96.501,
2012-04,97.113,
2012-07,97.605,
2012-10,98.150,
2013-01,98.883,
2013-04,99.563,
2013-07,99.902,
2013-10,99.998,
2014-01,101.056,
2014-04,100.845,
2014-07,102.396,
2014-10,105.230,
