"",BBK01.CEL501,BBK01.CEL501_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:29,
1999-01,18.1,
1999-04,22.9,
1999-07,35.6,
1999-10,37.9,
2000-01,-23.8,
2000-04,41.5,
2000-07,44.5,
2000-10,114.7,
2001-01,-38.1,
2001-04,36.2,
2001-07,44.7,
2001-10,-8.0,
2002-01,12.1,
2002-04,22.9,
2002-07,13.5,
2002-10,26.7,
2003-01,11.9,
2003-04,-7.9,
2003-07,15.0,
2003-10,-0.9,
2004-01,-4.5,
2004-04,45.8,
2004-07,11.2,
2004-10,-11.5,
2005-01,10.8,
2005-04,7.6,
2005-07,2.7,
2005-10,-4.5,
2006-01,37.4,
2006-04,0.5,
2006-07,30.0,
2006-10,40.3,
2007-01,-13.3,
2007-04,1.9,
2007-07,30.8,
2007-10,25.9,
2008-01,-21.1,
2008-04,-15.6,
2008-07,2.1,
2008-10,-12.7,
2009-01,16.2,
2009-04,9.0,
2009-07,0.8,
2009-10,6.3,
2010-01,20.8,
2010-04,11.9,
2010-07,15.8,
2010-10,20.7,
2011-01,0.8,
2011-04,35.0,
2011-07,3.1,
2011-10,19.4,
2012-01,7.3,
2012-04,5.3,
2012-07,15.6,
2012-10,13.8,
2013-01,16.9,
2013-04,-6.7,
2013-07,9.6,
2013-10,9.3,
2014-01,11.4,
2014-04,3.5,
2014-07,23.0,
