"",BBK01.QUY524,BBK01.QUY524_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Indonesia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:38:07,
2002-03,0.383,
2002-04,0.417,
2002-05,0.618,
2002-06,0.493,
2002-07,0.512,
2002-08,0.330,
2002-09,0.327,
2002-10,0.330,
2002-11,0.345,
2002-12,0.263,
2003-01,0.293,
2003-02,0.402,
2003-03,0.382,
2003-04,0.488,
2003-05,0.420,
2003-06,0.344,
2003-07,0.331,
2003-08,0.471,
2003-09,0.490,
2003-10,0.356,
2003-11,0.355,
2003-12,0.273,
2004-01,0.351,
2004-02,0.238,
2004-03,0.346,
2004-04,0.745,
2004-05,1.209,
2004-06,0.737,
2004-07,0.665,
2004-08,0.750,
2004-09,0.860,
2004-10,0.658,
2004-11,0.562,
2004-12,0.750,
2005-01,0.929,
2005-02,0.996,
2005-03,0.661,
2005-04,0.613,
2005-05,0.733,
2005-06,0.756,
2005-07,0.519,
2005-08,0.459,
2005-09,0.467,
2005-10,0.389,
2005-11,0.429,
2005-12,0.177,
2006-01,0.250,
2006-02,0.195,
2006-03,0.227,
2006-04,0.251,
2006-05,0.266,
2006-06,0.382,
2006-07,0.394,
2006-08,0.454,
2006-09,0.481,
2006-10,0.727,
2006-11,0.432,
2006-12,0.345,
2007-01,0.350,
2007-02,0.344,
2007-03,0.412,
2007-04,0.401,
2007-05,0.407,
2007-06,0.387,
2007-07,0.412,
2007-08,0.316,
2007-09,0.183,
2007-10,0.271,
2007-11,0.281,
2007-12,0.200,
2008-01,0.330,
2008-02,0.314,
2008-03,0.332,
2008-04,0.336,
2008-05,0.888,
2008-06,0.421,
2008-07,0.459,
2008-08,0.369,
2008-09,0.413,
2008-10,0.359,
2008-11,0.545,
2008-12,0.472,
2009-01,0.727,
2009-02,0.517,
2009-03,0.492,
2009-04,0.522,
2009-05,0.454,
2009-06,0.607,
2009-07,0.628,
2009-08,0.667,
2009-09,0.624,
2009-10,0.705,
2009-11,0.629,
2009-12,0.591,
2010-01,0.723,
2010-02,0.679,
2010-03,0.989,
2010-04,0.836,
2010-05,0.982,
2010-06,0.877,
2010-07,1.284,
2010-08,1.237,
2010-09,1.216,
2010-10,0.901,
2010-11,1.043,
2010-12,1.106,
2011-01,0.984,
2011-02,1.646,
2011-03,1.393,
2011-04,1.064,
2011-05,0.803,
2011-06,1.203,
2011-07,1.444,
2011-08,1.340,
2011-09,1.648,
2011-10,1.429,
2011-11,1.065,
2011-12,1.342,
2012-01,1.535,
2012-02,1.638,
2012-03,1.487,
2012-04,1.531,
2012-05,1.206,
2012-06,1.092,
2012-07,1.029,
2012-08,1.010,
2012-09,1.003,
2012-10,0.438,
2012-11,0.447,
2012-12,0.391,
2013-01,0.468,
2013-02,0.496,
2013-03,0.463,
2013-04,0.423,
2013-05,0.525,
2013-06,0.433,
2013-07,0.482,
2013-08,0.349,
2013-09,0.535,
2013-10,0.552,
2013-11,0.551,
2013-12,0.625,
2014-01,0.663,
2014-02,0.646,
2014-03,0.639,
2014-04,0.630,
2014-05,0.709,
2014-06,0.778,
2014-07,0.710,
2014-08,0.694,
2014-09,0.564,
2014-10,0.522,
