"",BBFN1.M.DE.N.1.L.KW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:45,
1975-12,0.008,
1976-01,0.007,
1976-02,0.007,
1976-03,0.009,
1976-04,0.009,
1976-05,0.008,
1976-06,0.007,
1976-07,0.007,
1976-08,0.007,
1976-09,0.006,
1976-10,0.006,
1976-11,0.007,
1976-12,0.006,
1977-01,0.005,
1977-02,0.005,
1977-03,0.006,
1977-04,0.006,
1977-05,0.006,
1977-06,0.008,
1977-07,0.007,
1977-08,0.008,
1977-09,0.008,
1977-10,0.008,
1977-11,0.008,
1977-12,0.008,
1978-01,0.009,
1978-02,0.012,
1978-03,0.012,
1978-04,0.008,
1978-05,0.008,
1978-06,0.014,
1978-07,0.016,
1978-08,0.013,
1978-09,0.005,
1978-10,0.004,
1978-11,0.003,
1978-12,0.006,
1979-01,0.004,
1979-02,0.005,
1979-03,0.007,
1979-04,0.011,
1979-05,0.009,
1979-06,0.010,
1979-07,0.011,
1979-08,0.014,
1979-09,0.015,
1979-10,0.016,
1979-11,0.015,
1979-12,0.017,
1980-01,0.020,
1980-02,0.021,
1980-03,0.020,
1980-04,0.020,
1980-05,0.016,
1980-06,0.015,
1980-07,0.016,
1980-08,0.021,
1980-09,0.016,
1980-10,0.017,
1980-11,0.018,
1980-12,0.025,
1981-01,0.028,
1981-02,0.035,
1981-03,0.031,
1981-04,0.051,
1981-05,0.057,
1981-06,0.053,
1981-07,0.043,
1981-08,0.058,
1981-09,0.052,
1981-10,0.041,
1981-11,0.039,
1981-12,0.032,
1982-01,0.033,
1982-02,0.033,
1982-03,0.050,
1982-04,0.084,
1982-05,0.076,
1982-06,0.078,
1982-07,0.084,
1982-08,0.085,
1982-09,0.063,
1982-10,0.057,
1982-11,0.053,
1982-12,0.070,
1983-01,0.068,
1983-02,0.026,
1983-03,0.080,
1983-04,0.083,
1983-05,0.073,
1983-06,0.074,
1983-07,0.011,
1983-08,0.016,
1983-09,0.087,
1983-10,0.069,
1983-11,0.057,
1983-12,0.076,
1984-01,0.057,
1984-02,0.063,
1984-03,0.056,
1984-04,0.046,
1984-05,0.041,
1984-06,0.024,
1984-07,0.043,
1984-08,0.054,
1984-09,0.041,
1984-10,0.052,
1984-11,0.050,
1984-12,0.039,
1985-01,0.040,
1985-02,0.037,
1985-03,0.034,
1985-04,0.038,
1985-05,0.026,
1985-06,0.039,
1985-07,0.035,
1985-08,0.046,
1985-09,0.046,
1985-10,0.039,
1985-11,0.035,
1985-12,0.698,
1986-01,0.694,
1986-02,0.698,
1986-03,0.700,
1986-04,0.700,
1986-05,0.702,
1986-06,0.750,
1986-07,0.744,
1986-08,0.744,
1986-09,0.744,
1986-10,0.744,
1986-11,0.740,
1986-12,0.737,
1987-01,0.737,
1987-02,0.764,
1987-03,0.734,
1987-04,0.785,
1987-05,0.784,
1987-06,0.778,
1987-07,0.754,
1987-08,0.762,
1987-09,0.765,
1987-10,0.768,
1987-11,0.771,
1987-12,0.768,
1988-01,0.773,
1988-02,0.776,
1988-03,0.785,
1988-04,0.788,
1988-05,0.791,
1988-06,0.793,
1988-07,0.805,
1988-08,0.809,
1988-09,0.820,
1988-10,0.815,
1988-11,0.812,
1988-12,0.131,
1989-01,0.134,
1989-02,0.142,
1989-03,0.138,
1989-04,0.139,
1989-05,0.147,
1989-06,0.149,
1989-07,0.152,
1989-08,0.328,
1989-09,0.433,
1989-10,0.528,
1989-11,0.695,
1989-12,0.704,
1990-01,0.037,
1990-02,0.046,
1990-03,0.053,
1990-04,0.060,
1990-05,0.078,
1990-06,0.077,
1990-07,0.095,
1990-08,0.093,
1990-09,0.109,
1990-10,0.118,
1990-11,0.126,
1990-12,0.133,
1991-01,0.142,
1991-02,0.150,
1991-03,0.158,
1991-04,0.124,
1991-05,0.132,
1991-06,0.130,
1991-07,0.130,
1991-08,0.049,
1991-09,0.058,
1991-10,0.065,
1991-11,0.078,
1991-12,0.089,
1992-01,0.098,
1992-02,0.105,
1992-03,0.092,
1992-04,0.104,
1992-05,0.111,
1992-06,0.117,
1992-07,0.029,
1992-08,0.040,
1992-09,0.050,
1992-10,0.051,
1992-11,0.058,
1992-12,0.065,
1993-01,0.072,
1993-02,0.079,
1993-03,0.086,
1993-04,0.096,
1993-05,0.105,
1993-06,0.142,
1993-07,0.046,
1993-08,0.055,
1993-09,0.067,
1993-10,0.073,
1993-11,0.090,
1993-12,0.099,
1994-01,0.108,
1994-02,0.116,
1994-03,0.124,
1994-04,0.132,
1994-05,0.141,
1994-06,0.150,
1994-07,0.051,
1994-08,0.058,
1994-09,0.067,
1994-10,0.075,
1994-11,0.082,
1994-12,0.193,
1995-01,0.201,
1995-02,0.210,
1995-03,0.219,
1995-04,0.227,
1995-05,0.231,
1995-06,0.205,
1995-07,0.185,
