"",BBK01.OEAH46N,BBK01.OEAH46N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:28,
2002-01,7.786,
2002-04,7.666,
2002-07,7.788,
2002-10,7.921,
2003-01,7.771,
2003-04,7.466,
2003-07,7.200,
2003-10,7.021,
2004-01,6.779,
2004-04,6.477,
2004-07,6.331,
2004-10,6.334,
2005-01,6.281,
2005-04,5.955,
2005-07,6.005,
2005-10,6.218,
2006-01,6.410,
2006-04,6.744,
2006-07,7.045,
2006-10,7.256,
2007-01,7.595,
2007-04,7.915,
2007-07,8.798,
2007-10,9.437,
2008-01,9.556,
2008-04,10.019,
2008-07,10.530,
2008-10,10.903,
2009-01,8.498,
2009-04,6.910,
2009-07,5.697,
2009-10,4.956,
2010-01,4.545,
2010-04,4.088,
2010-07,3.902,
2010-10,3.914,
2011-01,4.333,
2011-04,4.672,
2011-07,5.207,
2011-10,5.440,
2012-01,4.976,
2012-04,4.611,
2012-07,4.224,
2012-10,4.002,
2013-01,3.812,
2013-04,3.599,
2013-07,3.424,
2013-10,3.163,
2014-01,3.430,
2014-04,3.473,
2014-07,3.353,
