"",BBK01.OECB14J,BBK01.OECB14J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:13,
2002-01,0.057,
2002-04,0.064,
2002-07,0.063,
2002-10,0.067,
2003-01,0.057,
2003-04,0.050,
2003-07,0.049,
2003-10,0.040,
2004-01,0.039,
2004-04,0.041,
2004-07,0.038,
2004-10,0.038,
2005-01,0.040,
2005-04,0.039,
2005-07,0.037,
2005-10,0.037,
2006-01,0.038,
2006-04,0.038,
2006-07,0.039,
2006-10,0.035,
2007-01,0.036,
2007-04,0.039,
2007-07,0.033,
2007-10,0.035,
2008-01,0.034,
2008-04,0.030,
2008-07,0.032,
2008-10,0.038,
2009-01,0.035,
2009-04,0.035,
2009-07,0.035,
2009-10,0.031,
2010-01,0.032,
2010-04,0.032,
2010-07,0.033,
2010-10,0.035,
2011-01,0.038,
2011-04,0.036,
2011-07,0.024,
2011-10,0.024,
2012-01,0.024,
2012-04,0.022,
2012-07,0.019,
2012-10,0.020,
2013-01,0.020,
2013-04,0.020,
2013-07,0.020,
2013-10,0.022,
2014-01,0.021,
2014-04,0.020,
2014-07,0.022,
