"",BBFN1.M.DE.N.1.A.HU.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HU.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:47,
1994-07,0.410,
1994-08,0.434,
1994-09,0.481,
1994-10,0.501,
1994-11,0.523,
1994-12,0.510,
1995-01,0.494,
1995-02,0.478,
1995-03,0.502,
1995-04,0.519,
1995-05,0.524,
1995-06,0.515,
1995-07,0.494,
1995-08,0.493,
1995-09,0.504,
1995-10,0.523,
1995-11,0.509,
1995-12,0.479,
1996-01,0.494,
1996-02,0.517,
1996-03,0.544,
1996-04,0.534,
1996-05,0.625,
1996-06,0.646,
1996-07,0.564,
1996-08,0.516,
1996-09,0.546,
1996-10,0.566,
1996-11,0.588,
1996-12,0.573,
1997-01,0.583,
1997-02,0.588,
1997-03,0.612,
1997-04,0.632,
1997-05,0.636,
1997-06,0.648,
1997-07,0.649,
1997-08,0.656,
1997-09,0.717,
1997-10,0.802,
1997-11,0.751,
1997-12,0.736,
1998-01,0.738,
1998-02,0.775,
1998-03,0.838,
1998-04,0.810,
1998-05,0.845,
1998-06,0.907,
1998-07,0.899,
1998-08,0.885,
1998-09,0.940,
1998-10,0.970,
1998-11,0.941,
1998-12,0.856,
1999-01,0.779,
1999-02,0.824,
1999-03,0.922,
1999-04,0.886,
1999-05,0.917,
1999-06,1.001,
1999-07,0.974,
1999-08,0.990,
1999-09,0.993,
1999-10,1.016,
1999-11,1.040,
1999-12,1.020,
2000-01,1.018,
2000-02,1.063,
2000-03,1.209,
2000-04,1.115,
2000-05,1.194,
2000-06,1.187,
2000-07,1.231,
2000-08,1.245,
2000-09,1.266,
2000-10,1.299,
2000-11,1.324,
2000-12,1.234,
2001-01,1.144,
2001-02,1.253,
2001-03,1.339,
2001-04,1.296,
2001-05,1.311,
2001-06,1.278,
2001-07,1.271,
2001-08,1.267,
2001-09,1.305,
2001-10,1.323,
2001-11,1.423,
2001-12,1.259,
2002-01,1.196,
2002-02,1.211,
2002-03,1.171,
2002-04,1.189,
2002-05,1.193,
2002-06,1.292,
2002-07,1.223,
2002-08,1.172,
2002-09,1.264,
2002-10,1.285,
2002-11,1.358,
2002-12,1.253,
2003-01,1.136,
2003-02,1.197,
2003-03,1.264,
2003-04,1.261,
2003-05,1.269,
2003-06,1.305,
2003-07,1.249,
2003-08,1.233,
2003-09,1.269,
2003-10,1.327,
2003-11,1.512,
2003-12,1.341,
2004-01,1.215,
2004-02,1.241,
2004-03,1.432,
2004-04,1.283,
2004-05,1.383,
2004-06,1.547,
2004-07,1.356,
2004-08,1.279,
2004-09,1.446,
2004-10,1.552,
2004-11,1.667,
2004-12,1.489,
2005-01,1.374,
2005-02,1.399,
2005-03,1.475,
2005-04,1.499,
2005-05,1.533,
2005-06,1.551,
2005-07,1.526,
2005-08,1.456,
2005-09,1.557,
2005-10,1.569,
2005-11,1.562,
2005-12,1.520,
2006-01,1.358,
2006-02,1.451,
2006-03,1.609,
2006-04,1.657,
2006-05,1.644,
2006-06,1.665,
2006-07,1.728,
2006-08,1.751,
2006-09,1.849,
2006-10,1.887,
2006-11,2.056,
2006-12,1.708,
2007-01,1.720,
2007-02,1.743,
2007-03,1.880,
2007-04,1.935,
2007-05,1.931,
2007-06,1.947,
2007-07,1.868,
2007-08,1.837,
2007-09,1.871,
2007-10,2.015,
2007-11,2.058,
2007-12,1.921,
2008-01,1.938,
2008-02,1.980,
2008-03,2.065,
2008-04,2.146,
2008-05,2.083,
2008-06,2.152,
2008-07,2.009,
2008-08,2.033,
2008-09,2.125,
2008-10,2.119,
2008-11,1.874,
2008-12,1.684,
2009-01,1.561,
2009-02,1.517,
2009-03,1.683,
2009-04,1.535,
2009-05,1.641,
2009-06,1.684,
2009-07,1.705,
2009-08,1.581,
2009-09,1.640,
2009-10,1.716,
2009-11,1.731,
2009-12,1.624,
2010-01,1.541,
2010-02,1.655,
2010-03,1.770,
2010-04,1.603,
2010-05,1.695,
2010-06,1.873,
2010-07,1.863,
2010-08,1.716,
2010-09,1.853,
2010-10,2.002,
2010-11,1.895,
2010-12,1.755,
2011-01,1.558,
2011-02,1.777,
2011-03,1.753,
2011-04,1.675,
2011-05,1.647,
2011-06,1.646,
2011-07,1.655,
2011-08,1.699,
2011-09,1.747,
2011-10,1.842,
2011-11,1.893,
2011-12,1.836,
2012-01,1.654,
2012-02,1.835,
2012-03,1.870,
2012-04,1.861,
2012-05,1.851,
2012-06,2.048,
2012-07,1.893,
2012-08,1.790,
2012-09,1.874,
2012-10,1.914,
2012-11,2.379,
2012-12,1.859,
2013-01,1.945,
2013-02,1.839,
2013-03,1.783,
2013-04,1.853,
2013-05,1.880,
2013-06,2.086,
2013-07,2.048,
2013-08,2.100,
2013-09,2.361,
2013-10,2.490,
2013-11,2.841,
2013-12,1.759,
2014-01,1.849,
2014-02,1.971,
2014-03,2.193,
2014-04,2.218,
2014-05,2.200,
2014-06,2.489,
2014-07,2.440,
2014-08,2.423,
2014-09,2.667,
2014-10,2.732,
2014-11,2.995,
2014-12,2.022,
