"",BBK01.OEAA47T,BBK01.OEAA47T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:35,
2002-01,3.544,
2002-04,3.554,
2002-07,3.560,
2002-10,3.658,
2003-01,3.807,
2003-04,3.819,
2003-07,3.892,
2003-10,3.711,
2004-01,3.943,
2004-04,3.976,
2004-07,4.045,
2004-10,3.980,
2005-01,4.037,
2005-04,4.067,
2005-07,4.059,
2005-10,4.074,
2006-01,4.096,
2006-04,4.115,
2006-07,4.138,
2006-10,4.027,
2007-01,4.019,
2007-04,3.917,
2007-07,3.894,
2007-10,3.859,
2008-01,3.799,
2008-04,3.756,
2008-07,3.962,
2008-10,3.977,
2009-01,3.891,
2009-04,3.876,
2009-07,3.863,
2009-10,3.666,
2010-01,3.658,
2010-04,3.702,
2010-07,3.851,
2010-10,3.861,
2011-01,3.896,
2011-04,3.986,
2011-07,3.985,
2011-10,3.899,
2012-01,3.970,
2012-04,3.918,
2012-07,3.889,
2012-10,3.830,
2013-01,4.172,
2013-04,3.546,
2013-07,3.511,
2013-10,3.452,
2014-01,3.525,
2014-04,3.599,
2014-07,3.566,
