"",BBK01.OECO01G,BBK01.OECO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:33,
2002-01,2.123,
2002-04,1.990,
2002-07,1.156,
2002-10,1.130,
2003-01,1.252,
2003-04,1.263,
2003-07,1.287,
2003-10,1.593,
2004-01,1.604,
2004-04,1.487,
2004-07,1.501,
2004-10,1.825,
2005-01,5.830,
2005-04,5.832,
2005-07,6.038,
2005-10,5.950,
2006-01,5.782,
2006-04,5.630,
2006-07,5.489,
2006-10,5.319,
2007-01,5.226,
2007-04,5.462,
2007-07,5.360,
2007-10,5.273,
2008-01,5.385,
2008-04,5.390,
2008-07,5.679,
2008-10,5.513,
2009-01,5.816,
2009-04,6.068,
2009-07,6.466,
2009-10,7.015,
2010-01,7.181,
2010-04,7.121,
2010-07,6.968,
2010-10,6.939,
2011-01,7.038,
2011-04,6.978,
2011-07,6.816,
2011-10,6.758,
2012-01,6.740,
2012-04,7.439,
2012-07,7.411,
2012-10,7.329,
2013-01,7.324,
2013-04,7.008,
2013-07,6.861,
2013-10,6.618,
2014-01,6.457,
2014-04,6.279,
2014-07,6.085,
