"",BBK01.CEL205,BBK01.CEL205_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:09,
1999-01,-1.2,
1999-04,-1.6,
1999-07,-0.3,
1999-10,-3.5,
2000-01,8.9,
2000-04,-7.2,
2000-07,0.7,
2000-10,-3.7,
2001-01,7.5,
2001-04,-1.1,
2001-07,1.2,
2001-10,0.0,
2002-01,13.4,
2002-04,0.9,
2002-07,-4.8,
2002-10,-14.7,
2003-01,10.2,
2003-04,6.5,
2003-07,5.1,
2003-10,-6.6,
2004-01,9.3,
2004-04,-6.9,
2004-07,5.6,
2004-10,-7.8,
2005-01,26.6,
2005-04,-8.0,
2005-07,14.5,
2005-10,-17.8,
2006-01,30.9,
2006-04,-6.7,
2006-07,15.5,
2006-10,-21.9,
2007-01,37.1,
2007-04,0.1,
2007-07,4.6,
2007-10,-3.5,
2008-01,45.0,
2008-04,-1.8,
2008-07,13.4,
2008-10,9.8,
2009-01,60.0,
2009-04,-0.8,
2009-07,-3.1,
2009-10,11.9,
2010-01,-5.9,
2010-04,42.0,
2010-07,2.6,
2010-10,-12.9,
2011-01,-1.3,
2011-04,43.8,
2011-07,50.0,
2011-10,-61.2,
2012-01,6.9,
2012-04,34.4,
2012-07,-2.6,
2012-10,-52.4,
2013-01,41.4,
2013-04,33.4,
2013-07,-57.6,
2013-10,-6.4,
2014-01,27.4,
2014-04,4.2,
2014-07,-4.2,
