"",BBDE1.Q.DE.Y.LCC1.N2F000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.N2F000000.A.L.I08.A1_FLAGS
"",Index of non-wage costs / Germany / Section F - Construction / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:21,
1996-01,102.034,
1996-04,97.813,
1996-07,99.515,
1996-10,101.594,
1997-01,102.601,
1997-04,97.548,
1997-07,99.379,
1997-10,99.286,
1998-01,96.537,
1998-04,97.867,
1998-07,97.963,
1998-10,96.976,
1999-01,93.453,
1999-04,93.986,
1999-07,92.965,
1999-10,92.491,
2000-01,93.127,
2000-04,94.431,
2000-07,95.526,
2000-10,96.236,
2001-01,95.120,
2001-04,97.084,
2001-07,96.781,
2001-10,95.976,
2002-01,99.140,
2002-04,97.562,
2002-07,98.281,
2002-10,96.934,
2003-01,101.419,
2003-04,102.898,
2003-07,101.382,
2003-10,99.468,
2004-01,99.865,
2004-04,100.639,
2004-07,100.575,
2004-10,97.752,
2005-01,100.571,
2005-04,100.735,
2005-07,98.847,
2005-10,97.931,
2006-01,100.575,
2006-04,97.260,
2006-07,97.040,
2006-10,99.534,
2007-01,96.424,
2007-04,96.227,
2007-07,97.865,
2007-10,99.003,
2008-01,98.961,
2008-04,98.059,
2008-07,101.165,
2008-10,101.815,
2009-01,104.245,
2009-04,104.024,
2009-07,103.635,
2009-10,104.161,
2010-01,106.379,
2010-04,105.638,
2010-07,105.897,
2010-10,106.017,
2011-01,107.991,
2011-04,108.505,
2011-07,108.040,
2011-10,109.132,
2012-01,109.557,
2012-04,109.616,
2012-07,110.475,
2012-10,111.160,
2013-01,114.513,
2013-04,109.184,
2013-07,108.628,
2013-10,110.819,
2014-01,111.182,
2014-04,111.394,
2014-07,111.298,
