"",BBK01.OELI01O,BBK01.OELI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:29,
2002-01,26.416,
2002-04,26.390,
2002-07,26.290,
2002-10,26.914,
2003-01,26.884,
2003-04,26.839,
2003-07,26.776,
2003-10,27.270,
2004-01,27.137,
2004-04,27.191,
2004-07,27.090,
2004-10,27.645,
2005-01,27.676,
2005-04,27.779,
2005-07,27.655,
2005-10,28.119,
2006-01,27.826,
2006-04,27.862,
2006-07,27.917,
2006-10,28.163,
2007-01,27.837,
2007-04,28.138,
2007-07,28.044,
2007-10,28.095,
2008-01,27.643,
2008-04,27.678,
2008-07,27.561,
2008-10,28.934,
2009-01,28.900,
2009-04,29.546,
2009-07,29.853,
2009-10,30.806,
2010-01,30.851,
2010-04,31.225,
2010-07,31.513,
2010-10,32.128,
2011-01,31.931,
2011-04,32.024,
2011-07,32.131,
2011-10,32.824,
2012-01,32.529,
2012-04,32.730,
2012-07,33.179,
2012-10,33.587,
2013-01,33.406,
2013-04,33.435,
2013-07,33.851,
2013-10,34.574,
2014-01,35.306,
2014-04,35.607,
2014-07,35.919,
