"",BBK01.OEBB16H,BBK01.OEBB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:46,
2002-01,39.127,
2002-04,38.908,
2002-07,38.638,
2002-10,38.280,
2003-01,38.144,
2003-04,37.598,
2003-07,36.975,
2003-10,36.256,
2004-01,35.711,
2004-04,35.450,
2004-07,35.346,
2004-10,34.621,
2005-01,34.707,
2005-04,34.062,
2005-07,33.419,
2005-10,32.601,
2006-01,31.923,
2006-04,31.034,
2006-07,30.482,
2006-10,29.210,
2007-01,28.107,
2007-04,27.120,
2007-07,26.252,
2007-10,25.534,
2008-01,24.788,
2008-04,24.142,
2008-07,23.399,
2008-10,22.361,
2009-01,21.566,
2009-04,13.555,
2009-07,13.253,
2009-10,12.907,
2010-01,12.595,
2010-04,12.218,
2010-07,12.010,
2010-10,11.988,
2011-01,11.178,
2011-04,11.029,
2011-07,10.859,
2011-10,10.550,
2012-01,10.293,
2012-04,10.249,
2012-07,10.200,
2012-10,10.050,
2013-01,9.964,
2013-04,9.993,
2013-07,10.238,
2013-10,10.225,
2014-01,10.176,
2014-04,10.321,
2014-07,10.257,
