"",BBK01.OEAC52T,BBK01.OEAC52T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:15,
2002-01,0.163,
2002-04,0.166,
2002-07,0.163,
2002-10,0.163,
2003-01,0.159,
2003-04,0.158,
2003-07,0.152,
2003-10,0.154,
2004-01,0.151,
2004-04,0.149,
2004-07,0.150,
2004-10,0.140,
2005-01,0.136,
2005-04,0.144,
2005-07,0.144,
2005-10,0.139,
2006-01,0.135,
2006-04,0.138,
2006-07,0.133,
2006-10,0.134,
2007-01,0.129,
2007-04,0.131,
2007-07,0.126,
2007-10,0.121,
2008-01,0.130,
2008-04,0.141,
2008-07,0.141,
2008-10,0.141,
2009-01,0.139,
2009-04,0.139,
2009-07,0.139,
2009-10,0.132,
2010-01,0.144,
2010-04,0.142,
2010-07,0.145,
2010-10,0.142,
2011-01,0.145,
2011-04,0.143,
2011-07,0.161,
2011-10,0.180,
2012-01,0.176,
2012-04,0.178,
2012-07,0.186,
2012-10,0.185,
2013-01,0.184,
2013-04,0.189,
2013-07,0.192,
2013-10,0.194,
2014-01,0.194,
2014-04,0.208,
2014-07,0.211,
