"",BBK01.OXA7A9,BBK01.OXA7A9_FLAGS
"",Short-term consumer credit to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:06,
2010-06,29.404,
2010-07,29.138,
2010-08,29.486,
2010-09,29.849,
2010-10,29.558,
2010-11,29.178,
2010-12,28.795,
2011-01,28.178,
2011-02,27.401,
2011-03,27.782,
2011-04,27.376,
2011-05,27.611,
2011-06,27.986,
2011-07,27.363,
2011-08,27.898,
2011-09,28.415,
2011-10,28.887,
2011-11,27.526,
2011-12,27.944,
2012-01,27.941,
2012-02,27.441,
2012-03,27.817,
2012-04,28.179,
2012-05,28.027,
2012-06,27.695,
2012-07,27.832,
2012-08,27.251,
2012-09,27.314,
2012-10,27.744,
2012-11,26.277,
2012-12,27.192,
2013-01,25.869,
2013-02,25.672,
2013-03,25.620,
2013-04,25.886,
2013-05,25.905,
2013-06,25.675,
2013-07,25.631,
2013-08,25.578,
2013-09,26.442,
2013-10,25.693,
2013-11,23.954,
2013-12,26.049,
2014-01,25.302,
2014-02,24.698,
2014-03,25.861,
2014-04,25.632,
2014-05,24.577,
2014-06,25.650,
2014-07,24.973,
2014-08,24.516,
2014-09,25.545,
2014-10,25.122,
2014-11,23.089,
2014-12,24.464,Provisional value
