"",BBK01.OEYI06G,BBK01.OEYI06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:07,
2002-01,0.376,
2002-04,0.431,
2002-07,0.426,
2002-10,0.414,
2003-01,0.375,
2003-04,0.340,
2003-07,0.311,
2003-10,0.298,
2004-01,0.261,
2004-04,0.238,
2004-07,0.219,
2004-10,0.197,
2005-01,0.179,
2005-04,0.161,
2005-07,0.145,
2005-10,0.137,
2006-01,0.149,
2006-04,0.190,
2006-07,0.243,
2006-10,0.365,
2007-01,0.450,
2007-04,0.530,
2007-07,0.618,
2007-10,0.752,
2008-01,0.853,
2008-04,0.997,
2008-07,1.082,
2008-10,1.949,
2009-01,2.092,
2009-04,2.008,
2009-07,1.935,
2009-10,1.212,
2010-01,1.155,
2010-04,1.105,
2010-07,1.062,
2010-10,0.978,
2011-01,0.891,
2011-04,0.981,
2011-07,0.982,
2011-10,1.077,
2012-01,0.832,
2012-04,0.754,
2012-07,0.599,
2012-10,0.365,
2013-01,0.294,
2013-04,0.216,
2013-07,0.168,
2013-10,0.143,
2014-01,0.116,
2014-04,0.089,
2014-07,0.076,
