"",BBK01.OEAE16L,BBK01.OEAE16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:10,
2002-01,0.633,
2002-04,0.580,
2002-07,0.575,
2002-10,0.585,
2003-01,0.616,
2003-04,0.573,
2003-07,0.599,
2003-10,0.608,
2004-01,0.635,
2004-04,0.563,
2004-07,0.587,
2004-10,0.566,
2005-01,0.628,
2005-04,0.596,
2005-07,0.527,
2005-10,0.540,
2006-01,0.634,
2006-04,0.565,
2006-07,0.535,
2006-10,0.563,
2007-01,0.531,
2007-04,0.526,
2007-07,0.546,
2007-10,0.583,
2008-01,0.529,
2008-04,0.534,
2008-07,0.487,
2008-10,0.584,
2009-01,0.552,
2009-04,0.574,
2009-07,0.572,
2009-10,0.562,
2010-01,0.463,
2010-04,0.534,
2010-07,0.582,
2010-10,0.519,
2011-01,0.542,
2011-04,0.599,
2011-07,0.595,
2011-10,0.644,
2012-01,0.602,
2012-04,0.631,
2012-07,0.615,
2012-10,0.606,
2013-01,0.610,
2013-04,0.531,
2013-07,0.558,
2013-10,0.589,
2014-01,0.556,
2014-04,0.620,
2014-07,0.519,
