"",BBK01.OEHB06K,BBK01.OEHB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:38,
2002-01,3.001,
2002-04,3.123,
2002-07,3.033,
2002-10,2.839,
2003-01,2.791,
2003-04,2.682,
2003-07,2.569,
2003-10,2.460,
2004-01,2.382,
2004-04,2.445,
2004-07,2.346,
2004-10,2.252,
2005-01,2.162,
2005-04,2.156,
2005-07,2.143,
2005-10,2.131,
2006-01,1.978,
2006-04,2.022,
2006-07,2.006,
2006-10,1.915,
2007-01,1.964,
2007-04,1.963,
2007-07,2.240,
2007-10,2.042,
2008-01,2.050,
2008-04,2.082,
2008-07,2.188,
2008-10,2.347,
2009-01,2.395,
2009-04,2.682,
2009-07,2.492,
2009-10,2.573,
2010-01,2.581,
2010-04,2.718,
2010-07,2.870,
2010-10,2.768,
2011-01,2.879,
2011-04,3.000,
2011-07,2.863,
2011-10,2.696,
2012-01,2.685,
2012-04,3.098,
2012-07,2.917,
2012-10,2.936,
2013-01,2.909,
2013-04,3.550,
2013-07,2.591,
2013-10,2.607,
2014-01,2.464,
2014-04,2.886,
2014-07,2.414,
