"",BBSF2.M.1.P.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DAC01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds-of-funds / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:32,
2009-01,335887,
2009-02,336033,
2009-03,335875,
2009-04,320900,
2009-05,321684,
2009-06,323038,
2009-07,326690,
2009-08,326918,
2009-09,336591,
2009-10,341811,
2009-11,343519,
2009-12,343448,
2010-01,337710,
2010-02,336391,
2010-03,335651,
2010-04,338377,
2010-05,338969,
2010-06,326102,
2010-07,330393,
2010-08,344631,
2010-09,332349,
2010-10,333911,
2010-11,334325,
2010-12,335803,
2011-01,338746,
2011-02,339210,
2011-03,338514,
2011-04,339168,
2011-05,337734,
2011-06,336758,
2011-07,348586,
2011-08,344878,
2011-09,343444,
2011-10,341450,
2011-11,339584,
2011-12,334467,
2012-01,332962,
2012-02,330696,
2012-03,327583,
2012-04,326091,
2012-05,324817,
2012-06,298853,
2012-07,298308,
2012-08,296378,
2012-09,295039,
2012-10,292671,
2012-11,292671,
2012-12,291993,
2013-01,290947,
2013-02,285315,
2013-03,284103,
2013-04,283739,
2013-05,282911,
2013-06,277188,
2013-07,275876,
2013-08,276435,
2013-09,273149,
2013-10,274407,
2013-11,273168,
2013-12,275945,
2014-01,278589,
2014-02,267610,
2014-03,270149,
2014-04,272524,
2014-05,273971,
2014-06,274931,
2014-07,276257,
2014-08,278579,
2014-09,280261,
2014-10,281762,
2014-11,303092,
