"",BBK01.WXI073,BBK01.WXI073_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:06,
2009-09,74,
2009-10,49,
2009-11,57,
2009-12,114,
2010-01,83,
2010-02,119,
2010-03,60,
2010-04,78,
2010-05,134,
2010-06,82,
2010-07,43,
2010-08,58,
2010-09,221,
2010-10,161,
2010-11,104,
2010-12,56,
2011-01,98,
2011-02,97,
2011-03,46,
2011-04,47,
2011-05,73,
2011-06,54,
2011-07,70,
2011-08,71,
2011-09,146,
2011-10,121,
2011-11,86,
2011-12,96,
2012-01,81,
2012-02,127,
2012-03,59,
2012-04,67,
2012-05,52,
2012-06,31,
2012-07,77,
2012-08,37,
2012-09,170,
2012-10,26,
2012-11,26,
2012-12,158,
2013-01,70,
2013-02,44,
2013-03,32,
2013-04,86,
2013-05,81,
2013-06,58,
2013-07,43,
2013-08,32,
2013-09,41,
2013-10,44,
2013-11,62,
2013-12,45,
2014-01,207,
2014-02,52,
2014-03,85,
2014-04,58,
2014-05,79,
2014-06,57,
2014-07,50,
2014-08,83,
2014-09,192,
2014-10,71,
2014-11,214,
