"",BBEX3.A.MWK.USD.CA.AA.A04,BBEX3.A.MWK.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Malawi  / USD 1 = MWK ... (buying),
unit,MWK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:23,
1993,4.3818,
1994,9.2208,comment
1995,15.2066,
1996,15.2322,
1997,16.6378,
1998,31.9499,comment
1999,43.9953,
2000,60.4451,
2001,71.3620,
2002,76.8498,
2003,97.9563,
2004,108.3628,
2005,118.4428,
2006,136.1347,
2007,139.3727,
2008,139.8344,
2009,140.5897,
2010,149.7323,
2011,155.8148,
2012,250.9565,comment
2013,364.9146,
2014,412.0642,
"","Source: Reserve Bank of Malawi, Lilongwe",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1994: On 7 February 1994, the exchange rates were allowed to float freely.",
"","Comment on 1998: On 21 and 24 August 1998, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 20 August 1998: USD 1 = MWK 26.6665 / 26.9345 21 August 1998: USD 1 = MWK 33.8300 / 34.1700  24 August 1998: USD 1 = MWK 41.7900 / 42.2100 Calculated using the exchange rates from 20 and 24 August 1998 the Malawi kwacha was devalued by 36.2%.",
"","Comment on 2012: On 7 May 2012, the Malawi kwacha was devalued. We recorded the following exchange rates (buying/selling rate): 4 May 2012: USD 1 = MWK 164.5375 / 167.8615 7 May 2012: USD 1 = MWK 247.50 / 252.50 Calculated devaluation: 33.5%.",
