"",BBK01.OEAH62O,BBK01.OEAH62O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:10,
2002-01,-0.970,
2002-04,-0.936,
2002-07,-0.858,
2002-10,-0.717,
2003-01,-0.668,
2003-04,-0.649,
2003-07,-0.556,
2003-10,-0.481,
2004-01,-0.410,
2004-04,-0.403,
2004-07,-0.362,
2004-10,-0.303,
2005-01,0.438,
2005-04,0.429,
2005-07,0.418,
2005-10,0.397,
2006-01,0.379,
2006-04,0.394,
2006-07,0.394,
2006-10,0.439,
2007-01,0.468,
2007-04,0.506,
2007-07,0.576,
2007-10,0.730,
2008-01,0.836,
2008-04,0.870,
2008-07,1.074,
2008-10,1.216,
2009-01,1.164,
2009-04,1.142,
2009-07,1.037,
2009-10,0.979,
2010-01,0.800,
2010-04,0.671,
2010-07,0.633,
2010-10,0.627,
2011-01,0.592,
2011-04,0.616,
2011-07,0.643,
2011-10,0.698,
2012-01,0.684,
2012-04,0.652,
2012-07,0.628,
2012-10,0.607,
2013-01,0.516,
2013-04,0.455,
2013-07,0.409,
2013-10,0.391,
2014-01,0.351,
2014-04,0.326,
2014-07,0.327,
