"",BBK01.OEAH77O,BBK01.OEAH77O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:16,
2002-01,-0.256,
2002-04,-0.250,
2002-07,-0.247,
2002-10,-0.229,
2003-01,-0.217,
2003-04,-0.256,
2003-07,-0.256,
2003-10,-0.236,
2004-01,-0.227,
2004-04,-0.208,
2004-07,0.093,
2004-10,0.094,
2005-01,0.091,
2005-04,0.091,
2005-07,0.088,
2005-10,0.074,
2006-01,0.076,
2006-04,0.069,
2006-07,0.076,
2006-10,0.074,
2007-01,0.062,
2007-04,0.060,
2007-07,0.065,
2007-10,0.077,
2008-01,0.075,
2008-04,0.074,
2008-07,0.068,
2008-10,0.068,
2009-01,0.069,
2009-04,0.073,
2009-07,0.082,
2009-10,0.096,
2010-01,0.100,
2010-04,0.109,
2010-07,0.115,
2010-10,0.120,
2011-01,0.113,
2011-04,0.118,
2011-07,0.121,
2011-10,0.113,
2012-01,0.107,
2012-04,0.335,
2012-07,0.325,
2012-10,0.553,
2013-01,0.527,
2013-04,0.437,
2013-07,0.426,
2013-10,0.386,
2014-01,0.385,
2014-04,0.650,
2014-07,0.644,
