"",BBK01.OEYK01Q,BBK01.OEYK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:47,
2002-01,0.116,
2002-04,0.124,
2002-07,0.114,
2002-10,0.130,
2003-01,0.123,
2003-04,0.139,
2003-07,0.263,
2003-10,0.343,
2004-01,0.315,
2004-04,0.037,
2004-07,0.053,
2004-10,0.149,
2005-01,0.259,
2005-04,0.137,
2005-07,0.134,
2005-10,0.086,
2006-01,0.081,
2006-04,0.105,
2006-07,0.110,
2006-10,0.123,
2007-01,0.167,
2007-04,0.443,
2007-07,0.244,
2007-10,0.309,
2008-01,0.239,
2008-04,0.204,
2008-07,0.235,
2008-10,0.250,
2009-01,0.101,
2009-04,0.089,
2009-07,0.080,
2009-10,0.082,
2010-01,0.061,
2010-04,0.070,
2010-07,0.059,
2010-10,0.063,
2011-01,0.056,
2011-04,0.072,
2011-07,0.083,
2011-10,0.079,
2012-01,0.090,
2012-04,0.087,
2012-07,0.073,
2012-10,0.060,
2013-01,0.058,
2013-04,0.106,
2013-07,0.075,
2013-10,0.069,
2014-01,0.067,
2014-04,0.066,
2014-07,0.064,
