"",BBK01.OEAA17T,BBK01.OEAA17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:23,
2002-01,6.571,
2002-04,6.597,
2002-07,6.683,
2002-10,6.608,
2003-01,7.280,
2003-04,7.159,
2003-07,7.299,
2003-10,7.320,
2004-01,7.266,
2004-04,7.257,
2004-07,7.162,
2004-10,7.212,
2005-01,7.148,
2005-04,7.034,
2005-07,7.005,
2005-10,7.010,
2006-01,6.985,
2006-04,7.078,
2006-07,7.146,
2006-10,7.159,
2007-01,7.147,
2007-04,6.951,
2007-07,7.090,
2007-10,7.105,
2008-01,7.342,
2008-04,7.481,
2008-07,7.612,
2008-10,7.860,
2009-01,8.320,
2009-04,8.188,
2009-07,8.309,
2009-10,8.754,
2010-01,8.830,
2010-04,8.945,
2010-07,9.157,
2010-10,9.172,
2011-01,9.419,
2011-04,9.670,
2011-07,9.917,
2011-10,10.184,
2012-01,10.527,
2012-04,10.706,
2012-07,10.982,
2012-10,11.097,
2013-01,11.295,
2013-04,11.703,
2013-07,11.672,
2013-10,11.610,
2014-01,11.630,
2014-04,11.744,
2014-07,11.957,
