"",BBFN1.M.DE.N.1.L.SE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:22,
1975-12,0.038,
1976-01,0.035,
1976-02,0.037,
1976-03,0.039,
1976-04,0.040,
1976-05,0.037,
1976-06,0.036,
1976-07,0.039,
1976-08,0.041,
1976-09,0.039,
1976-10,0.040,
1976-11,0.037,
1976-12,0.035,
1977-01,0.035,
1977-02,0.034,
1977-03,0.037,
1977-04,0.050,
1977-05,0.045,
1977-06,0.039,
1977-07,0.036,
1977-08,0.034,
1977-09,0.031,
1977-10,0.034,
1977-11,0.034,
1977-12,0.038,
1978-01,0.035,
1978-02,0.021,
1978-03,0.032,
1978-04,0.028,
1978-05,0.028,
1978-06,0.030,
1978-07,0.028,
1978-08,0.029,
1978-09,0.027,
1978-10,0.024,
1978-11,0.023,
1978-12,0.025,
1979-01,0.025,
1979-02,0.025,
1979-03,0.027,
1979-04,0.044,
1979-05,0.042,
1979-06,0.036,
1979-07,0.034,
1979-08,0.040,
1979-09,0.037,
1979-10,0.039,
1979-11,0.038,
1979-12,0.038,
1980-01,0.037,
1980-02,0.039,
1980-03,0.041,
1980-04,0.043,
1980-05,0.042,
1980-06,0.041,
1980-07,0.043,
1980-08,0.047,
1980-09,0.042,
1980-10,0.033,
1980-11,0.029,
1980-12,0.033,
1981-01,0.034,
1981-02,0.032,
1981-03,0.047,
1981-04,0.038,
1981-05,0.041,
1981-06,0.044,
1981-07,0.056,
1981-08,0.052,
1981-09,0.071,
1981-10,0.057,
1981-11,0.051,
1981-12,0.043,
1982-01,0.054,
1982-02,0.050,
1982-03,0.063,
1982-04,0.058,
1982-05,0.056,
1982-06,0.059,
1982-07,0.061,
1982-08,0.054,
1982-09,0.053,
1982-10,0.050,
1982-11,0.057,
1982-12,0.049,
1983-01,0.043,
1983-02,0.039,
1983-03,0.046,
1983-04,0.053,
1983-05,0.048,
1983-06,0.051,
1983-07,0.052,
1983-08,0.051,
1983-09,0.053,
1983-10,0.055,
1983-11,0.042,
1983-12,0.051,
1984-01,0.047,
1984-02,0.041,
1984-03,0.038,
1984-04,0.042,
1984-05,0.046,
1984-06,0.044,
1984-07,0.050,
1984-08,0.046,
1984-09,0.047,
1984-10,0.046,
1984-11,0.048,
1984-12,0.036,
1985-01,0.041,
1985-02,0.040,
1985-03,0.046,
1985-04,0.052,
1985-05,0.053,
1985-06,0.053,
1985-07,0.062,
1985-08,0.076,
1985-09,0.074,
1985-10,0.081,
1985-11,0.084,
1985-12,0.071,
1986-01,0.097,
1986-02,0.093,
1986-03,0.105,
1986-04,0.116,
1986-05,0.145,
1986-06,0.151,
1986-07,0.143,
1986-08,0.140,
1986-09,0.164,
1986-10,0.176,
1986-11,0.170,
1986-12,0.157,
1987-01,0.167,
1987-02,0.154,
1987-03,0.154,
1987-04,0.135,
1987-05,0.151,
1987-06,0.149,
1987-07,0.171,
1987-08,0.191,
1987-09,0.198,
1987-10,0.189,
1987-11,0.174,
1987-12,0.123,
1988-01,0.219,
1988-02,0.241,
1988-03,0.256,
1988-04,0.182,
1988-05,0.245,
1988-06,0.208,
1988-07,0.206,
1988-08,0.251,
1988-09,0.272,
1988-10,0.235,
1988-11,0.221,
1988-12,0.215,
1989-01,0.261,
1989-02,0.259,
1989-03,0.258,
1989-04,0.250,
1989-05,0.289,
1989-06,0.292,
1989-07,0.273,
1989-08,0.274,
1989-09,0.281,
1989-10,0.366,
1989-11,0.313,
1989-12,0.321,
1990-01,0.446,
1990-02,0.457,
1990-03,0.490,
1990-04,1.142,
1990-05,1.181,
1990-06,1.182,
1990-07,0.746,
1990-08,1.955,
1990-09,2.114,
1990-10,2.337,
1990-11,2.258,
1990-12,2.259,
1991-01,2.184,
1991-02,2.182,
1991-03,2.255,
1991-04,2.336,
1991-05,2.326,
1991-06,2.412,
1991-07,2.392,
1991-08,2.416,
1991-09,2.408,
1991-10,2.429,
1991-11,2.494,
1991-12,2.503,
1992-01,1.741,
1992-02,1.745,
1992-03,1.732,
1992-04,1.638,
1992-05,1.682,
1992-06,1.725,
1992-07,1.655,
1992-08,1.533,
1992-09,1.501,
1992-10,1.559,
1992-11,1.602,
1992-12,1.508,
1993-01,1.514,
1993-02,1.531,
1993-03,1.584,
1993-04,1.563,
1993-05,1.637,
1993-06,1.768,
1993-07,1.885,
1993-08,1.744,
1993-09,1.679,
1993-10,1.693,
1993-11,1.568,
1993-12,1.442,
1994-01,1.524,
1994-02,1.487,
1994-03,1.488,
1994-04,1.532,
1994-05,1.509,
1994-06,1.458,
1994-07,1.548,
1994-08,1.597,
1994-09,1.666,
1994-10,1.590,
1994-11,1.495,
1994-12,1.451,
1995-01,1.488,
1995-02,1.393,
1995-03,1.354,
1995-04,1.278,
1995-05,1.302,
1995-06,1.245,
1995-07,1.233,
1995-08,1.231,
1995-09,1.288,
1995-10,1.298,
1995-11,1.259,
1995-12,1.241,
1996-01,1.270,
1996-02,1.096,
1996-03,1.121,
1996-04,1.088,
1996-05,1.041,
1996-06,1.058,
1996-07,1.006,
1996-08,1.036,
1996-09,1.094,
1996-10,0.990,
1996-11,0.940,
1996-12,0.861,
1997-01,0.841,
1997-02,0.917,
1997-03,1.508,
1997-04,1.514,
1997-05,1.476,
1997-06,1.500,
1997-07,1.497,
1997-08,1.504,
1997-09,1.462,
1997-10,1.485,
1997-11,1.476,
1997-12,1.570,
1998-01,1.620,
1998-02,1.589,
1998-03,1.604,
1998-04,1.616,
1998-05,1.595,
1998-06,1.609,
1998-07,1.593,
1998-08,1.606,
1998-09,1.629,
1998-10,1.795,
1998-11,1.754,
1998-12,2.323,
1999-01,2.100,
1999-02,1.920,
1999-03,1.951,
1999-04,1.926,
1999-05,1.946,
1999-06,2.014,
1999-07,1.750,
1999-08,1.673,
1999-09,1.965,
1999-10,1.999,
1999-11,1.954,
1999-12,1.498,
2000-01,1.581,
2000-02,1.745,
2000-03,1.829,
2000-04,2.333,
2000-05,2.311,
2000-06,2.889,
2000-07,3.023,
2000-08,3.172,
2000-09,2.609,
2000-10,3.235,
2000-11,3.211,
2000-12,2.446,
2001-01,2.291,
2001-02,2.256,
2001-03,2.203,
2001-04,2.484,
2001-05,2.425,
2001-06,2.132,
2001-07,2.202,
2001-08,2.227,
2001-09,2.149,
2001-10,2.197,
2001-11,2.336,
2001-12,2.860,
2002-01,3.054,
2002-02,3.567,
2002-03,3.544,
2002-04,3.558,
2002-05,3.644,
2002-06,3.801,
2002-07,3.997,
2002-08,4.424,
2002-09,4.507,
2002-10,4.051,
2002-11,4.015,
2002-12,3.172,
2003-01,3.213,
2003-02,3.423,
2003-03,3.529,
2003-04,3.509,
2003-05,3.398,
2003-06,3.479,
2003-07,3.281,
2003-08,3.589,
2003-09,3.364,
2003-10,3.241,
2003-11,3.194,
2003-12,3.287,
2004-01,3.265,
2004-02,3.349,
2004-03,3.154,
2004-04,3.041,
2004-05,2.683,
2004-06,2.605,
2004-07,2.708,
2004-08,2.973,
2004-09,3.229,
2004-10,3.337,
2004-11,3.255,
2004-12,3.542,
2005-01,3.492,
2005-02,2.685,
2005-03,2.532,
2005-04,2.823,
2005-05,2.998,
2005-06,3.090,
2005-07,3.336,
2005-08,3.405,
2005-09,3.564,
2005-10,3.254,
2005-11,3.476,
2005-12,3.791,
2006-01,3.995,
2006-02,4.419,
2006-03,4.273,
2006-04,4.454,
2006-05,3.938,
2006-06,4.214,
2006-07,4.096,
2006-08,3.988,
2006-09,4.491,
2006-10,4.131,
2006-11,4.062,
2006-12,3.961,
2007-01,3.807,
2007-02,3.803,
2007-03,4.346,
2007-04,4.188,
2007-05,4.238,
2007-06,4.228,
2007-07,4.395,
2007-08,4.369,
2007-09,4.148,
2007-10,4.110,
2007-11,4.212,
2007-12,4.090,
2008-01,4.419,
2008-02,4.024,
2008-03,4.066,
2008-04,3.865,
2008-05,3.457,
2008-06,3.356,
2008-07,2.979,
2008-08,3.252,
2008-09,2.724,
2008-10,2.542,
2008-11,2.654,
2008-12,2.668,
2009-01,2.563,
2009-02,2.822,
2009-03,3.036,
2009-04,2.952,
2009-05,3.199,
2009-06,2.960,
2009-07,3.154,
2009-08,3.132,
2009-09,3.205,
2009-10,3.312,
2009-11,3.274,
2009-12,3.164,
2010-01,3.705,
2010-02,3.665,
2010-03,3.814,
2010-04,3.873,
2010-05,3.819,
2010-06,3.732,
2010-07,3.721,
2010-08,3.953,
2010-09,3.879,
2010-10,4.036,
2010-11,4.486,
2010-12,4.567,
2011-01,4.824,
2011-02,4.931,
2011-03,4.540,
2011-04,4.536,
2011-05,4.281,
2011-06,4.156,
2011-07,4.340,
2011-08,4.715,
2011-09,4.931,
2011-10,4.871,
2011-11,5.042,
2011-12,5.366,
2012-01,5.746,
2012-02,5.118,
2012-03,5.709,
2012-04,5.208,
2012-05,5.314,
2012-06,4.857,
2012-07,5.363,
