"",BBK01.OEAB03N,BBK01.OEAB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:27,
2002-01,46.692,
2002-04,45.372,
2002-07,46.026,
2002-10,46.444,
2003-01,50.871,
2003-04,49.965,
2003-07,50.370,
2003-10,47.813,
2004-01,48.387,
2004-04,48.610,
2004-07,49.987,
2004-10,46.378,
2005-01,47.021,
2005-04,47.511,
2005-07,49.603,
2005-10,50.984,
2006-01,50.902,
2006-04,52.612,
2006-07,54.620,
2006-10,54.288,
2007-01,54.857,
2007-04,58.257,
2007-07,59.747,
2007-10,60.254,
2008-01,64.216,
2008-04,66.167,
2008-07,60.550,
2008-10,62.740,
2009-01,60.514,
2009-04,62.396,
2009-07,64.295,
2009-10,64.651,
2010-01,63.941,
2010-04,63.485,
2010-07,64.016,
2010-10,64.197,
2011-01,64.278,
2011-04,63.457,
2011-07,64.341,
2011-10,64.286,
2012-01,64.343,
2012-04,62.396,
2012-07,60.442,
2012-10,58.985,
2013-01,59.557,
2013-04,59.400,
2013-07,57.410,
2013-10,56.405,
2014-01,57.041,
2014-04,57.710,
2014-07,57.781,
