"",BBFB1.Q.N.DE.CN.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:57,
1991-01,64.209,
1991-04,42.385,
1991-07,46.269,
1991-10,44.353,
1992-01,25.114,
1992-04,25.700,
1992-07,23.046,
1992-10,52.981,
1993-01,38.967,
1993-04,40.372,
1993-07,37.816,
1993-10,32.494,
1994-01,22.795,
1994-04,42.583,
1994-07,28.333,
1994-10,51.266,
1995-01,56.765,
1995-04,65.102,
1995-07,68.827,
1995-10,67.665,
1996-01,68.101,
1996-04,72.127,
1996-07,52.832,
1996-10,65.527,
1997-01,113.887,
1997-04,117.599,
1997-07,119.530,
1997-10,126.419,
1998-01,88.831,
1998-04,94.664,
1998-07,76.424,
1998-10,72.249,
1999-01,102.858,
1999-04,71.006,
1999-07,99.462,
1999-10,83.467,
2000-01,99.614,
2000-04,200.538,
2000-07,112.064,
2000-10,120.911,
2001-01,107.287,
2001-04,159.598,
2001-07,157.331,
2001-10,99.603,
2002-01,112.352,
2002-04,123.240,
2002-07,118.031,
2002-10,129.157,
2003-01,153.840,
2003-04,168.988,
2003-07,203.125,
2003-10,242.192,
2004-01,206.794,
2004-04,222.492,
2004-07,239.934,
2004-10,265.146,
2005-01,200.419,
2005-04,232.574,
2005-07,234.206,
2005-10,286.549,
2006-01,283.921,
2006-04,288.575,
2006-07,304.662,
2006-10,336.315,
2007-01,540.745,
2007-04,532.172,
2007-07,497.243,
2007-10,424.566,
2008-01,779.830,
2008-04,442.494,
2008-07,397.727,
2008-10,582.032,
2009-01,686.711,
2009-04,734.805,
2009-07,755.344,
2009-10,820.786,
2010-01,1186.500,
2010-04,1284.769,
2010-07,1346.486,
2010-10,1377.701,
2011-01,1552.318,
2011-04,1645.902,
2011-07,1712.768,
2011-10,1735.503,
2012-01,1740.225,
2012-04,1733.725,
2012-07,1718.884,
2012-10,1708.211,
2013-01,1930.257,
2013-04,1927.227,
2013-07,1933.906,
2013-10,1934.662,
2014-01,1896.029,Provisional value
2014-04,1938.083,Provisional value
2014-07,2063.887,Provisional value
