"",BBK01.OEXI03J,BBK01.OEXI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:41,
2002-01,0.621,
2002-04,0.596,
2002-07,0.586,
2002-10,0.603,
2003-01,0.602,
2003-04,0.585,
2003-07,0.576,
2003-10,0.584,
2004-01,0.581,
2004-04,0.539,
2004-07,0.535,
2004-10,0.488,
2005-01,0.493,
2005-04,0.480,
2005-07,0.503,
2005-10,0.562,
2006-01,0.566,
2006-04,0.557,
2006-07,0.536,
2006-10,0.602,
2007-01,0.665,
2007-04,0.640,
2007-07,0.702,
2007-10,0.830,
2008-01,0.843,
2008-04,0.901,
2008-07,1.004,
2008-10,1.066,
2009-01,0.931,
2009-04,0.788,
2009-07,0.743,
2009-10,0.759,
2010-01,0.761,
2010-04,0.694,
2010-07,0.747,
2010-10,0.759,
2011-01,0.707,
2011-04,0.705,
2011-07,0.767,
2011-10,0.785,
2012-01,0.818,
2012-04,0.697,
2012-07,0.721,
2012-10,0.674,
2013-01,0.612,
2013-04,0.604,
2013-07,0.656,
2013-10,0.639,
2014-01,1.112,
2014-04,1.168,
2014-07,1.258,
