"",BBNZ1.Q.DE.S.G.0019.A,BBNZ1.Q.DE.S.G.0019.A_FLAGS
"",Germany / National accounts / Compensation per employee hours worked / Whole economy / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:09,
1991-01,58.33,
1991-04,61.26,
1991-07,62.05,
1991-10,63.28,
1992-01,64.44,
1992-04,66.34,
1992-07,68.71,
1992-10,68.85,
1993-01,69.82,
1993-04,71.04,
1993-07,71.54,
1993-10,72.15,
1994-01,72.99,
1994-04,73.14,
1994-07,73.43,
1994-10,74.68,
1995-01,75.06,
1995-04,77.02,
1995-07,77.27,
1995-10,77.60,
1996-01,78.16,
1996-04,77.98,
1996-07,78.39,
1996-10,79.73,
1997-01,81.21,
1997-04,78.76,
1997-07,79.25,
1997-10,80.42,
1998-01,80.86,
1998-04,81.17,
1998-07,81.06,
1998-10,81.19,
1999-01,82.34,
1999-04,83.13,
1999-07,83.46,
1999-10,82.95,
2000-01,83.96,
2000-04,85.44,
2000-07,86.31,
2000-10,86.85,
2001-01,86.50,
2001-04,87.45,
2001-07,87.88,
2001-10,88.94,
2002-01,89.05,
2002-04,88.29,
2002-07,89.32,
2002-10,90.64,
2003-01,90.58,
2003-04,90.84,
2003-07,91.10,
2003-10,91.79,
2004-01,91.49,
2004-04,91.89,
2004-07,91.83,
2004-10,91.00,
2005-01,94.47,
2005-04,91.54,
2005-07,92.20,
2005-10,92.02,
2006-01,91.43,
2006-04,92.16,
2006-07,92.70,
2006-10,92.00,
2007-01,91.66,
2007-04,92.56,
2007-07,93.19,
2007-10,93.35,
2008-01,94.41,
2008-04,93.33,
2008-07,95.45,
2008-10,97.37,
2009-01,98.28,
2009-04,99.26,
2009-07,99.30,
2009-10,99.38,
2010-01,100.83,
2010-04,99.67,
2010-07,100.22,
2010-10,99.33,
2011-01,101.31,
2011-04,102.24,
2011-07,102.66,
2011-10,103.53,
2012-01,103.75,
2012-04,106.58,
2012-07,107.04,
2012-10,107.72,
2013-01,108.98,
2013-04,108.27,
2013-07,108.64,
2013-10,110.13,
2014-01,109.84,
2014-04,110.75,
2014-07,110.92,
2014-10,111.94,
