"",BBK01.OEXK01M,BBK01.OEXK01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:58,
2002-01,1.424,
2002-04,1.468,
2002-07,1.429,
2002-10,1.462,
2003-01,1.411,
2003-04,1.483,
2003-07,1.415,
2003-10,1.381,
2004-01,1.446,
2004-04,1.406,
2004-07,1.431,
2004-10,1.368,
2005-01,1.421,
2005-04,1.502,
2005-07,1.528,
2005-10,1.576,
2006-01,1.715,
2006-04,1.702,
2006-07,1.731,
2006-10,1.778,
2007-01,1.754,
2007-04,1.772,
2007-07,1.798,
2007-10,1.887,
2008-01,1.986,
2008-04,2.006,
2008-07,1.955,
2008-10,2.140,
2009-01,2.455,
2009-04,2.656,
2009-07,2.580,
2009-10,2.496,
2010-01,2.545,
2010-04,2.541,
2010-07,2.573,
2010-10,2.690,
2011-01,2.699,
2011-04,2.797,
2011-07,3.030,
2011-10,3.092,
2012-01,3.080,
2012-04,3.019,
2012-07,3.185,
2012-10,3.083,
2013-01,3.112,
2013-04,3.110,
2013-07,3.187,
2013-10,3.162,
2014-01,3.082,
2014-04,2.977,
2014-07,3.182,
