"",BBSF2.M.1.P.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:29,
2009-09,261,
2009-10,282,
2009-11,306,
2009-12,321,
2010-01,315,
2010-02,341,
2010-03,356,
2010-04,350,
2010-05,359,
2010-06,365,
2010-07,344,
2010-08,359,
2010-09,367,
2010-10,344,
2010-11,381,
2010-12,390,
2011-01,281,
2011-02,332,
2011-03,340,
2011-04,335,
2011-05,357,
2011-06,348,
2011-07,369,
2011-08,375,
2011-09,392,
2011-10,393,
2011-11,388,
2011-12,340,
2012-01,366,
2012-02,370,
2012-03,323,
2012-04,315,
2012-05,298,
2012-06,309,
2012-07,330,
2012-08,343,
2012-09,324,
2012-10,331,
2012-11,364,
2012-12,319,
2013-01,321,
2013-02,303,
2013-03,279,
2013-04,256,
2013-05,260,
2013-06,238,
2013-07,250,
2013-08,254,
2013-09,230,
2013-10,247,
2013-11,237,
2013-12,226,
2014-01,230,
2014-02,239,
2014-03,226,
2014-04,221,
2014-05,211,
2014-06,214,
2014-07,225,
2014-08,245,
2014-09,218,
2014-10,216,
2014-11,226,
