"",BBK01.OEBB16I,BBK01.OEBB16I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:54,
2002-01,4.915,
2002-04,4.895,
2002-07,4.894,
2002-10,4.925,
2003-01,4.880,
2003-04,4.821,
2003-07,4.131,
2003-10,3.992,
2004-01,3.930,
2004-04,3.912,
2004-07,3.869,
2004-10,3.771,
2005-01,3.863,
2005-04,3.824,
2005-07,3.667,
2005-10,3.641,
2006-01,3.745,
2006-04,3.685,
2006-07,3.146,
2006-10,3.430,
2007-01,3.324,
2007-04,3.314,
2007-07,3.285,
2007-10,3.159,
2008-01,3.275,
2008-04,3.334,
2008-07,3.354,
2008-10,3.430,
2009-01,3.485,
2009-04,4.401,
2009-07,4.341,
2009-10,4.396,
2010-01,4.332,
2010-04,4.194,
2010-07,4.209,
2010-10,4.099,
2011-01,4.276,
2011-04,4.286,
2011-07,4.279,
2011-10,4.251,
2012-01,4.214,
2012-04,4.218,
2012-07,4.238,
2012-10,4.238,
2013-01,4.252,
2013-04,4.298,
2013-07,4.443,
2013-10,4.520,
2014-01,4.605,
2014-04,4.662,
2014-07,4.702,
