"",BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S13.S1.T.L.FA.O.F89.T._T._X.N_FLAGS
"","Liabilities (Net Incurrence of) / Financial account / Other accounts receivable/payable, excluding trade credits and advances / Rest of the World / General government / Other Investment",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:03,
1991-01,-200.260,
1991-04,105.850,
1991-07,-246.080,
1991-10,217.007,
1992-01,209.859,
1992-04,678.520,
1992-07,-53.494,
1992-10,-912.416,
1993-01,-33.487,
1993-04,235.859,
1993-07,-9.461,
1993-10,397.656,
1994-01,-706.084,
1994-04,1021.595,
1994-07,1092.135,
1994-10,-23.224,
1995-01,-1974.051,
1995-04,1386.503,
1995-07,893.793,
1995-10,-142.184,
1996-01,-2266.453,
1996-04,839.265,
1996-07,944.435,
1996-10,1827.056,
1997-01,-3615.791,
1997-04,-5.723,
1997-07,593.863,
1997-10,-193.678,
1998-01,-216.856,
1998-04,-192.075,
1998-07,964.201,
1998-10,2215.693,
1999-01,-3084.780,
1999-04,-84.171,
1999-07,1839.110,
1999-10,318.627,
2000-01,-2157.736,
2000-04,562.005,
2000-07,1509.992,
2000-10,1570.230,
2001-01,-2457.170,
2001-04,1580.080,
2001-07,385.122,
2001-10,1749.060,
2002-01,-3154.449,
2002-04,2207.236,
2002-07,-776.982,
2002-10,68.740,
2003-01,-3034.875,
2003-04,1837.955,
2003-07,2470.525,
2003-10,-2341.015,
2004-01,-2150.011,
2004-04,1288.809,
2004-07,527.990,
2004-10,-1551.311,
2005-01,-282.439,
2005-04,-3.509,
2005-07,1026.341,
2005-10,-887.569,
2006-01,-21.258,
2006-04,-112.208,
2006-07,1019.944,
2006-10,711.425,
2007-01,3477.945,
2007-04,-179.862,
2007-07,1167.562,
2007-10,-5367.628,
2008-01,4574.104,
2008-04,-380.337,
2008-07,515.639,
2008-10,-2967.717,
2009-01,2725.397,
2009-04,-435.669,
2009-07,331.695,
2009-10,-5240.729,
2010-01,5053.575,
2010-04,-192.385,
2010-07,1707.660,
2010-10,-7185.418,
2011-01,4135.984,
2011-04,137.120,
2011-07,23.207,
2011-10,-5239.692,
2012-01,5556.548,
2012-04,54.100,
2012-07,50.617,
2012-10,-5591.751,
2013-01,5497.976,
2013-04,-50.575,
2013-07,894.663,
2013-10,-6736.822,
2014-01,4560.254,
2014-04,-129.693,
2014-07,516.228,
