"",BBK01.OEYJ01N,BBK01.OEYJ01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:29,
2002-01,40.572,
2002-04,41.606,
2002-07,41.341,
2002-10,43.301,
2003-01,45.238,
2003-04,46.366,
2003-07,48.853,
2003-10,44.248,
2004-01,44.257,
2004-04,45.570,
2004-07,47.962,
2004-10,48.040,
2005-01,49.321,
2005-04,49.104,
2005-07,50.784,
2005-10,57.443,
2006-01,57.366,
2006-04,61.813,
2006-07,65.334,
2006-10,70.191,
2007-01,73.000,
2007-04,75.275,
2007-07,76.995,
2007-10,81.429,
2008-01,81.489,
2008-04,81.424,
2008-07,77.671,
2008-10,78.459,
2009-01,82.076,
2009-04,79.015,
2009-07,79.723,
2009-10,75.846,
2010-01,83.923,
2010-04,86.004,
2010-07,82.652,
2010-10,79.490,
2011-01,75.837,
2011-04,72.966,
2011-07,73.138,
2011-10,71.452,
2012-01,71.989,
2012-04,68.838,
2012-07,66.213,
2012-10,62.846,
2013-01,60.522,
2013-04,59.786,
2013-07,50.791,
2013-10,50.409,
2014-01,48.300,
2014-04,45.508,
2014-07,44.765,
