"",BBK01.OEYB07J,BBK01.OEYB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:49,
2002-01,0.472,
2002-04,0.457,
2002-07,0.515,
2002-10,0.488,
2003-01,0.543,
2003-04,0.612,
2003-07,0.640,
2003-10,0.541,
2004-01,0.537,
2004-04,0.731,
2004-07,0.746,
2004-10,0.775,
2005-01,0.852,
2005-04,0.850,
2005-07,0.921,
2005-10,0.987,
2006-01,1.042,
2006-04,1.027,
2006-07,1.161,
2006-10,0.712,
2007-01,0.683,
2007-04,0.728,
2007-07,0.799,
2007-10,0.837,
2008-01,0.880,
2008-04,0.894,
2008-07,0.889,
2008-10,0.912,
2009-01,0.779,
2009-04,0.755,
2009-07,0.749,
2009-10,0.760,
2010-01,0.727,
2010-04,1.440,
2010-07,1.266,
2010-10,1.200,
2011-01,1.132,
2011-04,1.034,
2011-07,0.929,
2011-10,0.907,
2012-01,0.773,
2012-04,0.811,
2012-07,0.872,
2012-10,0.777,
2013-01,0.821,
2013-04,0.795,
2013-07,0.864,
2013-10,0.864,
2014-01,0.799,
2014-04,0.788,
2014-07,0.915,
