"",BBK01.OEBB18O,BBK01.OEBB18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:54,
2002-01,-0.492,
2002-04,-0.597,
2002-07,-0.571,
2002-10,-0.514,
2003-01,-0.622,
2003-04,-0.697,
2003-07,-0.773,
2003-10,-0.708,
2004-01,-0.782,
2004-04,-0.727,
2004-07,-0.760,
2004-10,-0.625,
2005-01,0.237,
2005-04,0.232,
2005-07,0.235,
2005-10,0.243,
2006-01,0.241,
2006-04,0.235,
2006-07,0.239,
2006-10,0.225,
2007-01,0.232,
2007-04,0.234,
2007-07,0.216,
2007-10,0.215,
2008-01,0.217,
2008-04,0.214,
2008-07,0.219,
2008-10,0.221,
2009-01,0.206,
2009-04,0.207,
2009-07,0.202,
2009-10,0.198,
2010-01,0.196,
2010-04,0.182,
2010-07,0.187,
2010-10,0.175,
2011-01,0.177,
2011-04,0.177,
2011-07,0.181,
2011-10,0.170,
2012-01,0.322,
2012-04,0.354,
2012-07,0.268,
2012-10,0.211,
2013-01,0.178,
2013-04,0.172,
2013-07,0.173,
2013-10,0.158,
2014-01,0.161,
2014-04,0.173,
2014-07,0.175,
