"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United Kingdom,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:47,
2009-09,26309,
2009-10,27729,
2009-11,28228,
2009-12,28382,
2010-01,29530,
2010-02,29864,
2010-03,30876,
2010-04,31787,
2010-05,31944,
2010-06,32083,
2010-07,32953,
2010-08,34282,
2010-09,35046,
2010-10,36183,
2010-11,36309,
2010-12,36006,
2011-01,36095,
2011-02,35613,
2011-03,36049,
2011-04,36201,
2011-05,36841,
2011-06,36740,
2011-07,37152,
2011-08,36904,
2011-09,36915,
2011-10,33775,
2011-11,36823,
2011-12,37442,
2012-01,38619,
2012-02,39835,
2012-03,40496,
2012-04,41237,
2012-05,41955,
2012-06,41962,
2012-07,42617,
2012-08,42636,
2012-09,42049,
2012-10,41717,
2012-11,41158,
2012-12,41419,
2013-01,39171,
2013-02,39552,
2013-03,39815,
2013-04,40204,
2013-05,39452,
2013-06,38807,
2013-07,38704,
2013-08,38355,
2013-09,38249,
2013-10,38106,
2013-11,39019,
2013-12,38419,
2014-01,38124,
2014-02,38598,
2014-03,38640,
2014-04,39067,
2014-05,40050,
2014-06,42012,
2014-07,42132,
2014-08,42846,
2014-09,44219,
2014-10,44182,
2014-11,45721,
