"",BBFN1.M.DE.N.1.L.S1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:44,
1995-01,5.102,
1995-02,4.897,
1995-03,5.209,
1995-04,5.102,
1995-05,5.086,
1995-06,5.121,
1995-07,5.194,
1995-08,5.291,
1995-09,5.497,
1995-10,5.480,
1995-11,5.466,
1995-12,5.548,
1996-01,5.293,
1996-02,5.313,
1996-03,5.338,
1996-04,5.466,
1996-05,5.202,
1996-06,5.242,
1996-07,5.046,
1996-08,5.044,
1996-09,5.116,
1996-10,5.214,
1996-11,5.074,
1996-12,5.296,
1997-01,5.197,
1997-02,5.104,
1997-03,5.291,
1997-04,5.205,
1997-05,5.273,
1997-06,5.660,
1997-07,5.586,
1997-08,5.697,
1997-09,6.141,
1997-10,6.180,
1997-11,6.191,
1997-12,6.381,
1998-01,6.480,
1998-02,6.195,
1998-03,6.436,
1998-04,6.441,
1998-05,6.326,
1998-06,6.246,
1998-07,6.242,
1998-08,6.079,
1998-09,6.331,
1998-10,6.303,
1998-11,6.371,
1998-12,6.372,
1999-01,6.050,
1999-02,6.217,
1999-03,6.631,
1999-04,6.610,
1999-05,6.556,
1999-06,6.525,
1999-07,6.452,
1999-08,6.672,
1999-09,7.075,
1999-10,7.163,
1999-11,7.352,
1999-12,7.773,
2000-01,7.637,
2000-02,7.610,
2000-03,7.988,
2000-04,8.043,
2000-05,7.980,
2000-06,8.487,
2000-07,8.412,
2000-08,8.567,
2000-09,9.233,
2000-10,9.505,
2000-11,9.649,
2000-12,9.866,
2001-01,9.208,
2001-02,8.996,
2001-03,9.328,
2001-04,9.124,
2001-05,8.920,
2001-06,9.123,
2001-07,8.577,
2001-08,8.491,
2001-09,9.102,
2001-10,8.934,
2001-11,9.051,
2001-12,9.273,
2002-01,8.447,
2002-02,8.265,
2002-03,8.325,
2002-04,8.049,
2002-05,7.873,
2002-06,8.141,
2002-07,7.837,
2002-08,7.973,
2002-09,8.375,
2002-10,8.341,
2002-11,8.452,
2002-12,8.979,
2003-01,8.389,
2003-02,7.942,
2003-03,8.270,
2003-04,8.179,
2003-05,7.998,
2003-06,8.181,
2003-07,7.934,
2003-08,8.168,
2003-09,8.681,
2003-10,8.718,
2003-11,8.869,
2003-12,9.199,
2004-01,8.626,
2004-02,8.463,
2004-03,8.996,
2004-04,8.871,
2004-05,9.018,
2004-06,9.310,
2004-07,9.079,
2004-08,8.616,
2004-09,9.228,
2004-10,9.292,
2004-11,10.465,
2004-12,10.640,
2005-01,10.065,
2005-02,9.979,
2005-03,10.522,
2005-04,10.343,
2005-05,10.286,
2005-06,10.533,
2005-07,10.353,
2005-08,10.373,
2005-09,11.082,
2005-10,11.488,
2005-11,11.398,
2005-12,11.852,
2006-01,11.099,
2006-02,11.016,
2006-03,11.422,
2006-04,10.946,
2006-05,11.219,
2006-06,11.559,
2006-07,11.280,
2006-08,11.659,
2006-09,12.404,
2006-10,12.614,
2006-11,12.923,
2006-12,13.335,
2007-01,12.748,
2007-02,12.501,
2007-03,13.047,
2007-04,12.912,
2007-05,12.716,
2007-06,13.218,
2007-07,12.718,
2007-08,12.967,
2007-09,13.607,
2007-10,13.503,
2007-11,13.970,
2007-12,14.490,
2008-01,13.080,
2008-02,12.639,
2008-03,13.497,
2008-04,12.422,
2008-05,12.211,
2008-06,12.839,
2008-07,12.941,
2008-08,12.837,
2008-09,13.713,
2008-10,13.681,
2008-11,13.636,
2008-12,13.197,
2009-01,12.118,
2009-02,11.500,
2009-03,11.339,
2009-04,10.615,
2009-05,10.777,
2009-06,10.729,
2009-07,10.575,
2009-08,10.653,
2009-09,10.867,
2009-10,11.323,
2009-11,11.713,
2009-12,11.597,
2010-01,11.120,
2010-02,10.867,
2010-03,11.331,
2010-04,11.360,
2010-05,12.385,
2010-06,12.724,
2010-07,12.407,
2010-08,12.828,
2010-09,13.686,
2010-10,13.809,
2010-11,13.506,
2010-12,14.355,
2011-01,13.309,
2011-02,13.122,
2011-03,13.606,
2011-04,13.324,
2011-05,13.355,
2011-06,13.452,
2011-07,13.502,
2011-08,13.578,
2011-09,14.592,
2011-10,14.500,
2011-11,14.414,
2011-12,15.101,
2012-01,14.165,
2012-02,13.953,
2012-03,14.183,
2012-04,13.971,
2012-05,13.950,
2012-06,14.557,
2012-07,14.332,
2012-08,14.126,
2012-09,14.944,
2012-10,14.693,
2012-11,16.271,
2012-12,15.788,
2013-01,14.483,
2013-02,14.356,
2013-03,14.624,
2013-04,14.021,
2013-05,14.033,
2013-06,14.514,
2013-07,14.221,
2013-08,14.663,
2013-09,15.619,
2013-10,15.510,
2013-11,15.616,
2013-12,16.081,
2014-01,14.868,
2014-02,14.451,
2014-03,14.745,
2014-04,14.837,
2014-05,15.226,
2014-06,15.940,
2014-07,15.706,
2014-08,15.721,
2014-09,16.409,
2014-10,16.299,
2014-11,16.553,
2014-12,17.443,
