"",BBK01.OELL01G,BBK01.OELL01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:38,
2002-01,62.681,
2002-04,62.488,
2002-07,62.520,
2002-10,64.332,
2003-01,64.088,
2003-04,63.906,
2003-07,63.297,
2003-10,64.654,
2004-01,64.920,
2004-04,65.130,
2004-07,64.613,
2004-10,64.790,
2005-01,64.931,
2005-04,64.936,
2005-07,64.244,
2005-10,65.229,
2006-01,65.384,
2006-04,65.155,
2006-07,64.794,
2006-10,65.377,
2007-01,65.230,
2007-04,65.276,
2007-07,65.256,
2007-10,67.566,
2008-01,66.879,
2008-04,67.103,
2008-07,66.521,
2008-10,71.082,
2009-01,71.680,
2009-04,72.469,
2009-07,72.083,
2009-10,74.050,
2010-01,75.964,
2010-04,76.932,
2010-07,76.647,
2010-10,77.919,
2011-01,78.134,
2011-04,78.791,
2011-07,78.873,
2011-10,80.611,
2012-01,80.399,
2012-04,80.696,
2012-07,80.924,
2012-10,82.487,
2013-01,82.387,
2013-04,82.956,
2013-07,82.948,
2013-10,84.864,
2014-01,84.446,
2014-04,85.343,
2014-07,85.750,
