"",BBK01.OELB14V,BBK01.OELB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:55,
2002-01,0.272,
2002-04,0.278,
2002-07,0.269,
2002-10,0.267,
2003-01,0.271,
2003-04,0.265,
2003-07,0.258,
2003-10,0.245,
2004-01,0.233,
2004-04,0.212,
2004-07,0.209,
2004-10,0.208,
2005-01,0.209,
2005-04,0.193,
2005-07,0.188,
2005-10,0.182,
2006-01,0.192,
2006-04,0.190,
2006-07,0.187,
2006-10,0.179,
2007-01,0.176,
2007-04,0.175,
2007-07,0.169,
2007-10,0.169,
2008-01,0.167,
2008-04,0.169,
2008-07,0.166,
2008-10,0.168,
2009-01,0.169,
2009-04,0.170,
2009-07,0.166,
2009-10,0.160,
2010-01,0.167,
2010-04,0.165,
2010-07,0.155,
2010-10,0.156,
2011-01,0.157,
2011-04,0.157,
2011-07,0.154,
2011-10,0.149,
2012-01,0.148,
2012-04,0.164,
2012-07,0.162,
2012-10,0.160,
2013-01,0.162,
2013-04,0.161,
2013-07,0.153,
2013-10,0.153,
2014-01,0.151,
2014-04,0.156,
2014-07,0.148,
