"",BBK01.OELI02M,BBK01.OELI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:34,
2002-01,9.070,
2002-04,9.048,
2002-07,9.098,
2002-10,9.529,
2003-01,9.430,
2003-04,9.632,
2003-07,9.711,
2003-10,10.212,
2004-01,10.194,
2004-04,10.347,
2004-07,10.415,
2004-10,10.790,
2005-01,10.908,
2005-04,11.098,
2005-07,11.299,
2005-10,11.772,
2006-01,11.649,
2006-04,11.778,
2006-07,11.954,
2006-10,12.375,
2007-01,12.287,
2007-04,12.479,
2007-07,12.719,
2007-10,13.328,
2008-01,12.883,
2008-04,12.917,
2008-07,12.919,
2008-10,13.723,
2009-01,14.043,
2009-04,15.028,
2009-07,16.035,
2009-10,16.991,
2010-01,17.259,
2010-04,17.699,
2010-07,18.077,
2010-10,18.753,
2011-01,18.428,
2011-04,18.565,
2011-07,18.858,
2011-10,19.471,
2012-01,19.533,
2012-04,19.947,
2012-07,20.677,
2012-10,21.778,
2013-01,21.893,
2013-04,22.073,
2013-07,22.808,
2013-10,24.023,
2014-01,24.094,
2014-04,24.603,
2014-07,25.393,
