"",BBK01.OEAH06J,BBK01.OEAH06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:57,
2002-01,0.068,
2002-04,0.031,
2002-07,0.029,
2002-10,0.035,
2003-01,0.123,
2003-04,0.111,
2003-07,0.113,
2003-10,0.106,
2004-01,0.162,
2004-04,0.171,
2004-07,0.129,
2004-10,0.127,
2005-01,0.130,
2005-04,0.145,
2005-07,0.108,
2005-10,0.094,
2006-01,0.066,
2006-04,0.088,
2006-07,0.109,
2006-10,0.114,
2007-01,0.127,
2007-04,0.121,
2007-07,0.147,
2007-10,0.184,
2008-01,0.189,
2008-04,0.221,
2008-07,0.288,
2008-10,0.322,
2009-01,0.409,
2009-04,0.392,
2009-07,0.325,
2009-10,0.288,
2010-01,0.209,
2010-04,0.117,
2010-07,0.172,
2010-10,0.185,
2011-01,0.137,
2011-04,0.169,
2011-07,0.187,
2011-10,0.212,
2012-01,0.240,
2012-04,0.228,
2012-07,0.227,
2012-10,0.221,
2013-01,0.211,
2013-04,0.177,
2013-07,0.158,
2013-10,0.144,
2014-01,0.166,
2014-04,0.141,
2014-07,0.140,
