"",BBK01.OEAA29J,BBK01.OEAA29J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:42,
2002-01,3.045,
2002-04,3.029,
2002-07,3.415,
2002-10,3.478,
2003-01,3.412,
2003-04,3.336,
2003-07,3.258,
2003-10,3.236,
2004-01,3.211,
2004-04,3.213,
2004-07,3.154,
2004-10,3.140,
2005-01,3.274,
2005-04,3.240,
2005-07,3.171,
2005-10,3.143,
2006-01,3.087,
2006-04,3.155,
2006-07,3.144,
2006-10,3.023,
2007-01,2.969,
2007-04,2.951,
2007-07,2.911,
2007-10,2.886,
2008-01,2.866,
2008-04,2.798,
2008-07,2.463,
2008-10,2.471,
2009-01,2.432,
2009-04,2.417,
2009-07,2.232,
2009-10,2.212,
2010-01,2.151,
2010-04,2.149,
2010-07,2.123,
2010-10,2.088,
2011-01,2.060,
2011-04,2.085,
2011-07,2.060,
2011-10,2.021,
2012-01,1.996,
2012-04,2.409,
2012-07,2.415,
2012-10,2.421,
2013-01,2.430,
2013-04,2.422,
2013-07,2.406,
2013-10,2.373,
2014-01,2.389,
2014-04,2.368,
2014-07,2.426,
