"",BBK01.OEAG04I,BBK01.OEAG04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:16,
2002-01,3.412,
2002-04,3.901,
2002-07,3.709,
2002-10,3.650,
2003-01,2.976,
2003-04,2.234,
2003-07,1.737,
2003-10,1.494,
2004-01,1.398,
2004-04,1.409,
2004-07,1.386,
2004-10,1.390,
2005-01,1.268,
2005-04,1.242,
2005-07,1.536,
2005-10,1.315,
2006-01,1.194,
2006-04,1.229,
2006-07,1.353,
2006-10,1.413,
2007-01,1.360,
2007-04,1.233,
2007-07,1.261,
2007-10,1.210,
2008-01,1.119,
2008-04,1.076,
2008-07,1.178,
2008-10,1.101,
2009-01,1.071,
2009-04,1.518,
2009-07,7.472,
2009-10,7.532,
2010-01,7.363,
2010-04,7.263,
2010-07,7.690,
2010-10,7.260,
2011-01,7.030,
2011-04,6.834,
2011-07,6.015,
2011-10,6.077,
2012-01,5.732,
2012-04,5.819,
2012-07,5.570,
2012-10,5.475,
2013-01,6.178,
2013-04,6.129,
2013-07,6.214,
2013-10,6.261,
2014-01,6.473,
2014-04,6.396,
2014-07,6.351,
