"",BBK01.OEAF35U,BBK01.OEAF35U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:27,
2002-01,1.214,
2002-04,1.228,
2002-07,1.223,
2002-10,1.342,
2003-01,1.376,
2003-04,1.407,
2003-07,1.520,
2003-10,1.691,
2004-01,1.806,
2004-04,1.606,
2004-07,1.625,
2004-10,1.627,
2005-01,1.541,
2005-04,1.470,
2005-07,1.584,
2005-10,1.592,
2006-01,1.598,
2006-04,1.617,
2006-07,1.646,
2006-10,1.616,
2007-01,1.561,
2007-04,1.530,
2007-07,1.480,
2007-10,1.448,
2008-01,1.417,
2008-04,1.420,
2008-07,1.409,
2008-10,1.389,
2009-01,1.391,
2009-04,1.392,
2009-07,1.497,
2009-10,1.738,
2010-01,1.475,
2010-04,1.463,
2010-07,1.439,
2010-10,1.422,
2011-01,1.406,
2011-04,1.401,
2011-07,1.408,
2011-10,1.396,
2012-01,1.388,
2012-04,1.395,
2012-07,1.381,
2012-10,1.341,
2013-01,1.278,
2013-04,1.294,
2013-07,1.309,
2013-10,1.310,
2014-01,1.331,
2014-04,1.341,
2014-07,1.364,
