"",BBK01.OECB20U,BBK01.OECB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:19,
2002-01,1.096,
2002-04,1.089,
2002-07,1.080,
2002-10,1.063,
2003-01,1.050,
2003-04,1.042,
2003-07,1.035,
2003-10,1.029,
2004-01,1.028,
2004-04,1.044,
2004-07,1.042,
2004-10,1.037,
2005-01,1.443,
2005-04,1.450,
2005-07,1.468,
2005-10,1.479,
2006-01,1.481,
2006-04,1.485,
2006-07,1.490,
2006-10,1.510,
2007-01,1.504,
2007-04,1.564,
2007-07,1.562,
2007-10,1.558,
2008-01,1.549,
2008-04,1.556,
2008-07,1.563,
2008-10,1.553,
2009-01,1.543,
2009-04,1.978,
2009-07,1.957,
2009-10,1.939,
2010-01,1.931,
2010-04,1.930,
2010-07,1.918,
2010-10,1.911,
2011-01,1.903,
2011-04,1.876,
2011-07,1.865,
2011-10,1.856,
2012-01,1.850,
2012-04,1.842,
2012-07,1.845,
2012-10,1.851,
2013-01,1.859,
2013-04,1.871,
2013-07,1.907,
2013-10,1.923,
2014-01,1.923,
2014-04,1.910,
2014-07,1.945,
