"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.PL.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Poland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:40,
2009-09,1200,
2009-10,1245,
2009-11,1244,
2009-12,1232,
2010-01,1486,
2010-02,1562,
2010-03,1655,
2010-04,1675,
2010-05,1757,
2010-06,1762,
2010-07,1846,
2010-08,1936,
2010-09,2087,
2010-10,2220,
2010-11,2099,
2010-12,2170,
2011-01,2186,
2011-02,2245,
2011-03,2237,
2011-04,2392,
2011-05,2388,
2011-06,2526,
2011-07,2553,
2011-08,2613,
2011-09,2596,
2011-10,2764,
2011-11,2687,
2011-12,2798,
2012-01,2979,
2012-02,3146,
2012-03,3229,
2012-04,3293,
2012-05,3301,
2012-06,3591,
2012-07,3747,
2012-08,3718,
2012-09,3844,
2012-10,4077,
2012-11,4247,
2012-12,4314,
2013-01,4159,
2013-02,4150,
2013-03,4206,
2013-04,4276,
2013-05,4316,
2013-06,4254,
2013-07,4366,
2013-08,4266,
2013-09,4259,
2013-10,4341,
2013-11,4305,
2013-12,4373,
2014-01,4441,
2014-02,4579,
2014-03,4589,
2014-04,4522,
2014-05,4486,
2014-06,4434,
2014-07,4409,
2014-08,4383,
2014-09,4425,
2014-10,4547,
2014-11,4593,
