"",BBK01.OECM03N,BBK01.OECM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:37,
2002-01,0.476,
2002-04,0.368,
2002-07,0.363,
2002-10,0.319,
2003-01,0.172,
2003-04,0.165,
2003-07,0.250,
2003-10,0.559,
2004-01,0.281,
2004-04,0.330,
2004-07,0.533,
2004-10,0.231,
2005-01,0.271,
2005-04,0.244,
2005-07,0.160,
2005-10,0.379,
2006-01,1.147,
2006-04,3.160,
2006-07,2.461,
2006-10,0.997,
2007-01,1.685,
2007-04,2.548,
2007-07,2.269,
2007-10,2.769,
2008-01,1.803,
2008-04,2.161,
2008-07,2.397,
2008-10,3.225,
2009-01,3.221,
2009-04,3.732,
2009-07,3.095,
2009-10,2.322,
2010-01,1.714,
2010-04,1.829,
2010-07,2.001,
2010-10,2.090,
2011-01,2.051,
2011-04,2.652,
2011-07,3.034,
2011-10,1.797,
2012-01,4.433,
2012-04,3.916,
2012-07,3.740,
2012-10,2.197,
2013-01,2.451,
2013-04,3.667,
2013-07,3.402,
2013-10,1.606,
2014-01,1.818,
2014-04,2.480,
2014-07,1.458,
