"",BBFN1.M.DE.N.1.L.TN.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TN.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Tunisia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:04,
1994-12,0.055,
1995-01,0.050,
1995-02,0.048,
1995-03,0.048,
1995-04,0.049,
1995-05,0.051,
1995-06,0.054,
1995-07,0.050,
1995-08,0.049,
1995-09,0.048,
1995-10,0.046,
1995-11,0.052,
1995-12,0.049,
1996-01,0.051,
1996-02,0.051,
1996-03,0.052,
1996-04,0.057,
1996-05,0.057,
1996-06,0.056,
1996-07,0.058,
1996-08,0.057,
1996-09,0.059,
1996-10,0.065,
1996-11,0.069,
1996-12,0.062,
1997-01,0.066,
1997-02,0.067,
1997-03,0.072,
1997-04,0.076,
1997-05,0.078,
1997-06,0.079,
1997-07,0.069,
1997-08,0.075,
1997-09,0.054,
1997-10,0.059,
1997-11,0.060,
1997-12,0.059,
1998-01,0.056,
1998-02,0.063,
1998-03,0.063,
1998-04,0.064,
1998-05,0.061,
1998-06,0.059,
1998-07,0.052,
1998-08,0.052,
1998-09,0.058,
1998-10,0.065,
1998-11,0.059,
1998-12,0.060,
1999-01,0.052,
1999-02,0.055,
1999-03,0.054,
1999-04,0.050,
1999-05,0.067,
1999-06,0.066,
1999-07,0.069,
1999-08,0.067,
1999-09,0.065,
1999-10,0.066,
1999-11,0.066,
1999-12,0.066,
2000-01,0.066,
2000-02,0.066,
2000-03,0.066,
2000-04,0.074,
2000-05,0.074,
2000-06,0.069,
2000-07,0.075,
2000-08,0.075,
2000-09,0.076,
2000-10,0.077,
2000-11,0.078,
2000-12,0.081,
2001-01,0.082,
2001-02,0.101,
2001-03,0.103,
2001-04,0.114,
2001-05,0.111,
2001-06,0.117,
2001-07,0.106,
2001-08,0.115,
2001-09,0.104,
2001-10,0.105,
2001-11,0.101,
2001-12,0.103,
2002-01,0.102,
2002-02,0.109,
2002-03,0.098,
2002-04,0.105,
2002-05,0.104,
2002-06,0.129,
2002-07,0.126,
2002-08,0.103,
2002-09,0.133,
2002-10,0.149,
2002-11,0.142,
2002-12,0.119,
2003-01,0.159,
2003-02,0.146,
2003-03,0.135,
2003-04,0.144,
2003-05,0.122,
2003-06,0.120,
2003-07,0.127,
2003-08,0.135,
2003-09,0.127,
2003-10,0.134,
2003-11,0.119,
2003-12,0.117,
2004-01,0.115,
2004-02,0.118,
2004-03,0.124,
2004-04,0.119,
2004-05,0.126,
2004-06,0.125,
2004-07,0.118,
2004-08,0.131,
2004-09,0.153,
2004-10,0.158,
2004-11,0.115,
2004-12,0.121,
2005-01,0.109,
2005-02,0.101,
2005-03,0.092,
2005-04,0.093,
2005-05,0.090,
2005-06,0.159,
2005-07,0.094,
2005-08,0.096,
2005-09,0.100,
2005-10,0.098,
2005-11,0.093,
2005-12,0.095,
2006-01,0.093,
2006-02,0.098,
2006-03,0.104,
2006-04,0.102,
2006-05,0.110,
2006-06,0.104,
2006-07,0.111,
2006-08,0.107,
2006-09,0.108,
2006-10,0.104,
2006-11,0.112,
2006-12,0.117,
2007-01,0.124,
2007-02,0.108,
2007-03,0.110,
2007-04,0.115,
2007-05,0.109,
2007-06,0.111,
2007-07,0.117,
2007-08,0.117,
2007-09,0.119,
2007-10,0.121,
2007-11,0.118,
2007-12,0.115,
2008-01,0.112,
2008-02,0.121,
2008-03,0.113,
2008-04,0.114,
2008-05,0.121,
2008-06,0.130,
2008-07,0.132,
2008-08,0.125,
2008-09,0.135,
2008-10,0.131,
2008-11,0.124,
2008-12,0.115,
2009-01,0.090,
2009-02,0.091,
2009-03,0.083,
2009-04,0.095,
2009-05,0.091,
2009-06,0.100,
2009-07,0.094,
2009-08,0.096,
2009-09,0.102,
2009-10,0.110,
2009-11,0.098,
2009-12,0.087,
2010-01,0.091,
2010-02,0.093,
2010-03,0.099,
2010-04,0.099,
2010-05,0.105,
2010-06,0.108,
2010-07,0.115,
2010-08,0.118,
2010-09,0.131,
2010-10,0.133,
2010-11,0.135,
2010-12,0.140,
2011-01,0.141,
2011-02,0.132,
2011-03,0.139,
2011-04,0.144,
2011-05,0.151,
2011-06,0.144,
2011-07,0.150,
2011-08,0.140,
2011-09,0.145,
2011-10,0.147,
2011-11,0.147,
2011-12,0.158,
2012-01,0.140,
2012-02,0.158,
2012-03,0.193,
2012-04,0.151,
2012-05,0.151,
2012-06,0.159,
2012-07,0.162,
2012-08,0.158,
2012-09,0.159,
2012-10,0.154,
2012-11,0.171,
2012-12,0.172,
2013-01,0.169,
2013-02,0.177,
2013-03,0.180,
2013-04,0.179,
2013-05,0.183,
2013-06,0.216,
2013-07,0.192,
2013-08,0.193,
2013-09,0.200,
2013-10,0.137,
2013-11,0.139,
2013-12,0.150,
2014-01,0.133,
2014-02,0.143,
2014-03,0.173,
2014-04,0.174,
2014-05,0.182,
2014-06,0.214,
2014-07,0.218,
2014-08,0.198,
2014-09,0.202,
2014-10,0.193,
2014-11,0.181,
2014-12,0.177,
