"",BBDE1.Q.DE.Y.LCC1.A2N100000.A.L.I08.A1,BBDE1.Q.DE.Y.LCC1.A2N100000.A.L.I08.A1_FLAGS
"","Index of non-wage costs / Germany / Mining and quarrying, manufacturing and service activities (B-S) / Calendar and seasonally adjusted",
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:20,
1996-01,88.199,
1996-04,86.180,
1996-07,87.814,
1996-10,89.047,
1997-01,90.021,
1997-04,89.780,
1997-07,89.969,
1997-10,90.671,
1998-01,90.065,
1998-04,91.159,
1998-07,92.183,
1998-10,93.422,
1999-01,91.904,
1999-04,93.461,
1999-07,93.351,
1999-10,94.241,
2000-01,96.154,
2000-04,95.945,
2000-07,97.774,
2000-10,99.105,
2001-01,98.627,
2001-04,99.136,
2001-07,99.204,
2001-10,100.026,
2002-01,102.579,
2002-04,100.962,
2002-07,101.773,
2002-10,101.849,
2003-01,104.407,
2003-04,104.756,
2003-07,105.500,
2003-10,104.503,
2004-01,104.463,
2004-04,105.444,
2004-07,104.916,
2004-10,103.704,
2005-01,103.680,
2005-04,104.083,
2005-07,101.506,
2005-10,101.477,
2006-01,102.993,
2006-04,101.635,
2006-07,102.146,
2006-10,102.533,
2007-01,100.277,
2007-04,99.135,
2007-07,98.852,
2007-10,99.217,
2008-01,98.392,
2008-04,98.555,
2008-07,100.913,
2008-10,102.141,
2009-01,102.336,
2009-04,103.482,
2009-07,104.110,
2009-10,103.834,
2010-01,105.547,
2010-04,106.474,
2010-07,107.359,
2010-10,107.418,
2011-01,108.760,
2011-04,109.772,
2011-07,109.379,
2011-10,110.227,
2012-01,110.662,
2012-04,111.396,
2012-07,112.244,
2012-10,113.216,
2013-01,116.610,
2013-04,113.262,
2013-07,112.726,
2013-10,114.425,
2014-01,113.893,
2014-04,116.352,
2014-07,116.594,
