"",BBK01.OEAK05I,BBK01.OEAK05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:30,
2002-01,3.431,
2002-04,3.317,
2002-07,3.303,
2002-10,3.226,
2003-01,3.214,
2003-04,3.042,
2003-07,3.023,
2003-10,2.293,
2004-01,2.285,
2004-04,1.836,
2004-07,1.832,
2004-10,1.191,
2005-01,1.149,
2005-04,0.084,
2005-07,0.085,
2005-10,0.064,
2006-01,0.061,
2006-04,0.046,
2006-07,0.049,
2006-10,0.048,
2007-01,0.051,
2007-04,0.044,
2007-07,0.044,
2007-10,0.042,
2008-01,0.038,
2008-04,0.038,
2008-07,0.034,
2008-10,0.037,
2009-01,0.039,
2009-04,0.039,
2009-07,0.032,
2009-10,0.035,
2010-01,0.040,
2010-04,0.041,
2010-07,0.043,
2010-10,0.037,
2011-01,0.074,
2011-04,0.092,
2011-07,0.104,
2011-10,0.133,
2012-01,0.197,
2012-04,0.222,
2012-07,0.255,
2012-10,0.244,
2013-01,0.254,
2013-04,0.239,
2013-07,0.240,
2013-10,0.238,
2014-01,0.239,
2014-04,0.238,
2014-07,0.235,
