"",BBK01.OEAO01P,BBK01.OEAO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:42,
2002-01,8.505,
2002-04,8.412,
2002-07,8.119,
2002-10,8.068,
2003-01,8.482,
2003-04,8.532,
2003-07,8.553,
2003-10,8.587,
2004-01,8.787,
2004-04,8.789,
2004-07,8.739,
2004-10,8.702,
2005-01,9.260,
2005-04,9.228,
2005-07,9.172,
2005-10,9.126,
2006-01,9.285,
2006-04,9.237,
2006-07,9.152,
2006-10,9.042,
2007-01,9.090,
2007-04,8.994,
2007-07,8.869,
2007-10,8.758,
2008-01,8.828,
2008-04,8.684,
2008-07,8.565,
2008-10,8.328,
2009-01,8.547,
2009-04,8.607,
2009-07,8.712,
2009-10,8.875,
2010-01,9.150,
2010-04,9.285,
2010-07,9.333,
2010-10,9.314,
2011-01,9.473,
2011-04,9.441,
2011-07,9.394,
2011-10,9.295,
2012-01,9.332,
2012-04,9.316,
2012-07,9.198,
2012-10,9.101,
2013-01,9.157,
2013-04,9.008,
2013-07,8.843,
2013-10,8.715,
2014-01,8.724,
2014-04,8.629,
2014-07,8.534,
