"",BBDE1.M.DE.Y.AED1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AED1.A2P350000.F.V.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At current prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:22,
2003-01,80.7,
2003-02,81.7,
2003-03,75.2,
2003-04,74.0,
2003-05,68.5,
2003-06,74.0,
2003-07,74.6,
2003-08,77.2,
2003-09,78.4,
2003-10,76.0,
2003-11,74.9,
2003-12,76.0,
2004-01,76.0,
2004-02,79.7,
2004-03,78.4,
2004-04,78.8,
2004-05,78.9,
2004-06,80.5,
2004-07,80.5,
2004-08,78.0,
2004-09,80.2,
2004-10,79.3,
2004-11,79.5,
2004-12,80.5,
2005-01,84.3,
2005-02,83.3,
2005-03,83.6,
2005-04,82.6,
2005-05,80.6,
2005-06,80.4,
2005-07,80.9,
2005-08,79.4,
2005-09,82.0,
2005-10,81.5,
2005-11,82.4,
2005-12,82.7,
2006-01,80.1,
2006-02,84.2,
2006-03,87.4,
2006-04,85.4,
2006-05,87.3,
2006-06,83.5,
2006-07,92.8,
2006-08,91.6,
2006-09,90.2,
2006-10,89.6,
2006-11,90.3,
2006-12,82.7,
2007-01,90.8,
2007-02,96.4,
2007-03,94.7,
2007-04,90.5,
2007-05,95.4,
2007-06,96.5,
2007-07,94.1,
2007-08,97.3,
2007-09,99.3,
2007-10,111.7,
2007-11,93.8,
2007-12,91.2,
2008-01,91.4,
2008-02,91.9,
2008-03,90.6,
2008-04,92.4,
2008-05,88.7,
2008-06,90.1,
2008-07,90.5,
2008-08,103.0,
2008-09,95.5,
2008-10,93.0,
2008-11,94.5,
2008-12,94.7,
2009-01,92.5,
2009-02,83.4,
2009-03,85.3,
2009-04,91.7,
2009-05,90.6,
2009-06,89.5,
2009-07,92.2,
2009-08,82.7,
2009-09,92.0,
2009-10,97.7,
2009-11,95.2,
2009-12,97.0,
2010-01,98.2,
2010-02,93.7,
2010-03,96.3,
2010-04,99.4,
2010-05,99.5,
2010-06,104.5,
2010-07,103.2,
2010-08,101.5,
2010-09,97.6,
2010-10,101.7,
2010-11,97.7,
2010-12,101.8,
2011-01,106.8,
2011-02,109.4,
2011-03,102.5,
2011-04,104.3,
2011-05,102.2,
2011-06,100.2,
2011-07,105.8,
2011-08,100.4,
2011-09,99.7,
2011-10,102.6,
2011-11,101.6,
2011-12,104.7,
2012-01,99.6,
2012-02,95.2,
2012-03,102.4,
2012-04,98.2,
2012-05,107.2,
2012-06,105.7,
2012-07,100.7,
2012-08,107.0,
2012-09,104.0,
2012-10,100.7,
2012-11,101.6,
2012-12,105.1,
2013-01,100.2,
2013-02,97.2,
2013-03,96.5,
2013-04,107.4,
2013-05,101.9,
2013-06,102.5,
2013-07,101.0,
2013-08,99.5,
2013-09,103.9,
2013-10,108.3,
2013-11,116.3,
2013-12,110.7,
2014-01,111.0,
2014-02,112.0,
2014-03,98.1,
2014-04,110.7,
2014-05,111.2,
2014-06,107.9,
2014-07,102.6,
2014-08,111.4,
2014-09,113.8,
2014-10,101.7,
2014-11,121.1,
2014-12,102.5,Provisional value
