"",BBK01.OEBI02K,BBK01.OEBI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:20,
2002-01,12.369,
2002-04,13.046,
2002-07,14.214,
2002-10,15.148,
2003-01,14.535,
2003-04,14.438,
2003-07,14.735,
2003-10,15.297,
2004-01,15.292,
2004-04,16.007,
2004-07,16.666,
2004-10,16.398,
2005-01,17.460,
2005-04,17.755,
2005-07,18.664,
2005-10,17.688,
2006-01,18.300,
2006-04,18.168,
2006-07,17.708,
2006-10,18.196,
2007-01,18.355,
2007-04,19.035,
2007-07,19.082,
2007-10,20.484,
2008-01,20.067,
2008-04,19.332,
2008-07,19.839,
2008-10,21.863,
2009-01,23.929,
2009-04,24.843,
2009-07,25.043,
2009-10,26.329,
2010-01,27.818,
2010-04,28.520,
2010-07,26.948,
2010-10,28.399,
2011-01,27.678,
2011-04,28.462,
2011-07,28.921,
2011-10,29.190,
2012-01,31.054,
2012-04,33.775,
2012-07,34.577,
2012-10,36.300,
2013-01,36.635,
2013-04,36.782,
2013-07,38.400,
2013-10,39.048,
2014-01,39.550,
2014-04,39.479,
2014-07,41.299,
