"",BBK01.OEAH04N,BBK01.OEAH04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:13,
2002-01,64.895,
2002-04,64.200,
2002-07,63.567,
2002-10,66.409,
2003-01,64.450,
2003-04,63.190,
2003-07,57.697,
2003-10,60.168,
2004-01,56.255,
2004-04,56.762,
2004-07,56.423,
2004-10,55.072,
2005-01,51.778,
2005-04,54.691,
2005-07,56.617,
2005-10,61.493,
2006-01,59.213,
2006-04,65.599,
2006-07,72.121,
2006-10,77.781,
2007-01,74.657,
2007-04,76.458,
2007-07,87.672,
2007-10,101.294,
2008-01,104.208,
2008-04,110.658,
2008-07,121.101,
2008-10,132.470,
2009-01,114.666,
2009-04,100.913,
2009-07,99.072,
2009-10,88.680,
2010-01,83.786,
2010-04,87.010,
2010-07,85.426,
2010-10,90.409,
2011-01,81.867,
2011-04,84.860,
2011-07,93.472,
2011-10,93.016,
2012-01,94.275,
2012-04,106.575,
2012-07,101.218,
2012-10,65.459,
2013-01,61.704,
2013-04,57.275,
2013-07,50.667,
2013-10,47.850,
2014-01,47.865,
2014-04,46.072,
2014-07,44.374,
