"",BBK01.OEHL08H,BBK01.OEHL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:14,
2002-01,37.642,
2002-04,37.316,
2002-07,37.268,
2002-10,38.638,
2003-01,39.169,
2003-04,39.408,
2003-07,39.670,
2003-10,40.543,
2004-01,40.685,
2004-04,40.605,
2004-07,40.362,
2004-10,41.243,
2005-01,41.204,
2005-04,40.989,
2005-07,41.050,
2005-10,41.541,
2006-01,41.127,
2006-04,40.408,
2006-07,39.491,
2006-10,38.662,
2007-01,37.051,
2007-04,35.712,
2007-07,34.564,
2007-10,34.080,
2008-01,33.175,
2008-04,32.253,
2008-07,31.395,
2008-10,31.758,
2009-01,32.290,
2009-04,33.049,
2009-07,33.598,
2009-10,34.924,
2010-01,36.326,
2010-04,37.952,
2010-07,39.064,
2010-10,40.177,
2011-01,40.577,
2011-04,40.588,
2011-07,40.542,
2011-10,41.183,
2012-01,41.556,
2012-04,41.930,
2012-07,42.380,
2012-10,43.021,
2013-01,43.190,
2013-04,43.141,
2013-07,42.551,
2013-10,42.780,
2014-01,42.288,
2014-04,41.739,
2014-07,41.301,
