"",BBFB1.Q.N.DE.S19800.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:22,
1991-01,40.218,
1991-04,41.219,
1991-07,40.014,
1991-10,44.080,
1992-01,40.792,
1992-04,40.197,
1992-07,45.207,
1992-10,40.127,
1993-01,41.706,
1993-04,38.857,
1993-07,42.714,
1993-10,50.769,
1994-01,51.069,
1994-04,51.346,
1994-07,47.106,
1994-10,59.214,
1995-01,58.855,
1995-04,46.402,
1995-07,52.887,
1995-10,59.900,
1996-01,57.925,
1996-04,69.352,
1996-07,64.402,
1996-10,72.340,
1997-01,70.466,
1997-04,74.247,
1997-07,74.919,
1997-10,66.102,
1998-01,77.680,
1998-04,72.870,
1998-07,68.524,
1998-10,78.013,
1999-01,66.606,
1999-04,71.598,
1999-07,63.185,
1999-10,72.272,
2000-01,69.003,
2000-04,71.699,
2000-07,100.804,
2000-10,106.059,
2001-01,88.157,
2001-04,164.890,
2001-07,134.543,
2001-10,187.197,
2002-01,156.885,
2002-04,148.030,
2002-07,173.378,
2002-10,150.862,
2003-01,186.625,
2003-04,147.456,
2003-07,462.657,
2003-10,148.170,
2004-01,264.697,
2004-04,254.922,
2004-07,266.446,
2004-10,257.440,
2005-01,318.893,
2005-04,290.938,
2005-07,279.041,
2005-10,305.635,
2006-01,245.218,
2006-04,289.757,
2006-07,408.940,
2006-10,630.664,
2007-01,553.633,
2007-04,533.925,
2007-07,482.026,
2007-10,402.187,
2008-01,400.806,
2008-04,349.414,
2008-07,390.334,
2008-10,476.809,
2009-01,366.959,
2009-04,101.127,
2009-07,101.290,
2009-10,117.235,
2010-01,135.799,
2010-04,124.696,
2010-07,137.818,
2010-10,133.449,
2011-01,171.545,
2011-04,130.606,
2011-07,124.362,
2011-10,220.247,
2012-01,144.301,
2012-04,129.795,
2012-07,134.973,
2012-10,112.571,
2013-01,158.157,
2013-04,128.770,
2013-07,155.460,
2013-10,150.436,
2014-01,140.956,Provisional value
2014-04,145.373,Provisional value
2014-07,95.440,Provisional value
