"",BBK01.OELB17R,BBK01.OELB17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:11,
2002-01,0.789,
2002-04,0.784,
2002-07,0.798,
2002-10,0.836,
2003-01,0.828,
2003-04,0.833,
2003-07,0.841,
2003-10,0.842,
2004-01,0.830,
2004-04,0.829,
2004-07,0.850,
2004-10,0.828,
2005-01,0.815,
2005-04,0.815,
2005-07,0.826,
2005-10,0.833,
2006-01,0.825,
2006-04,0.874,
2006-07,0.877,
2006-10,0.875,
2007-01,0.868,
2007-04,0.855,
2007-07,0.853,
2007-10,0.856,
2008-01,0.850,
2008-04,0.847,
2008-07,0.864,
2008-10,0.860,
2009-01,0.863,
2009-04,0.864,
2009-07,0.851,
2009-10,0.848,
2010-01,0.844,
2010-04,0.848,
2010-07,0.861,
2010-10,0.862,
2011-01,0.858,
2011-04,0.868,
2011-07,0.879,
2011-10,0.888,
2012-01,0.896,
2012-04,0.980,
2012-07,0.995,
2012-10,1.002,
2013-01,0.999,
2013-04,1.042,
2013-07,1.063,
2013-10,1.057,
2014-01,1.055,
2014-04,1.073,
2014-07,1.094,
