"",BBK01.OEAH37P,BBK01.OEAH37P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:37,
2002-01,0.001,
2002-04,0.002,
2002-07,0.002,
2002-10,0.002,
2003-01,0.002,
2003-04,0.002,
2003-07,0.024,
2003-10,0.044,
2004-01,0.059,
2004-04,0.060,
2004-07,0.060,
2004-10,0.060,
2005-01,0.060,
2005-04,0.059,
2005-07,0.037,
2005-10,0.018,
2006-01,0.002,
2006-04,0.007,
2006-07,0.007,
2006-10,0.034,
2007-01,0.037,
2007-04,0.020,
2007-07,0.012,
2007-10,0.052,
2008-01,0.026,
2008-04,0.021,
2008-07,0.032,
2008-10,0.023,
2009-01,0.019,
2009-04,0.054,
2009-07,0.061,
2009-10,0.103,
2010-01,0.062,
2010-04,0.045,
2010-07,0.025,
2010-10,0.002,
2011-01,0.001,
2011-04,0.001,
2011-07,0.002,
2011-10,0.002,
2012-01,0.002,
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.002,
2013-04,0.001,
2013-07,0.001,
2013-10,0.002,
2014-01,0.002,
2014-04,0.002,
2014-07,0.002,
