"",BBK01.OEBM04K,BBK01.OEBM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:37,
2002-01,0.430,
2002-04,0.492,
2002-07,0.473,
2002-10,0.448,
2003-01,0.416,
2003-04,0.270,
2003-07,0.353,
2003-10,0.364,
2004-01,0.452,
2004-04,0.603,
2004-07,0.643,
2004-10,0.282,
2005-01,0.319,
2005-04,0.436,
2005-07,0.287,
2005-10,0.269,
2006-01,0.295,
2006-04,0.511,
2006-07,0.362,
2006-10,0.500,
2007-01,0.494,
2007-04,0.625,
2007-07,0.418,
2007-10,0.695,
2008-01,0.502,
2008-04,0.651,
2008-07,0.548,
2008-10,0.658,
2009-01,0.582,
2009-04,0.672,
2009-07,0.628,
2009-10,0.528,
2010-01,0.465,
2010-04,0.416,
2010-07,0.389,
2010-10,0.302,
2011-01,0.316,
2011-04,0.538,
2011-07,0.590,
2011-10,0.752,
2012-01,0.756,
2012-04,1.099,
2012-07,1.019,
2012-10,1.230,
2013-01,1.471,
2013-04,2.042,
2013-07,1.911,
2013-10,1.767,
2014-01,1.315,
2014-04,1.860,
2014-07,2.158,
