"",BBK01.OEYJ04V,BBK01.OEYJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:54,
2002-01,0.107,
2002-04,0.201,
2002-07,0.079,
2002-10,0.096,
2003-01,0.107,
2003-04,0.093,
2003-07,0.098,
2003-10,0.133,
2004-01,0.109,
2004-04,0.084,
2004-07,0.232,
2004-10,0.415,
2005-01,0.276,
2005-04,0.164,
2005-07,0.161,
2005-10,0.196,
2006-01,0.202,
2006-04,0.233,
2006-07,0.273,
2006-10,0.285,
2007-01,0.469,
2007-04,0.288,
2007-07,0.335,
2007-10,0.257,
2008-01,0.305,
2008-04,0.143,
2008-07,0.196,
2008-10,0.234,
2009-01,0.211,
2009-04,0.128,
2009-07,0.071,
2009-10,0.086,
2010-01,0.130,
2010-04,0.095,
2010-07,0.041,
2010-10,0.090,
2011-01,0.043,
2011-04,0.045,
2011-07,0.136,
2011-10,0.150,
2012-01,0.056,
2012-04,0.048,
2012-07,0.041,
2012-10,0.016,
2013-01,0.013,
2013-04,0.005,
2013-07,0.013,
2013-10,0.058,
2014-01,0.069,
2014-04,0.014,
2014-07,0.012,
